Orthogroup	Anisodus_acutangulus-Solanales-Solanaceae-Anisodus.prot	Anisodus_tanguticus-Solanales-Solanaceae-Anisodus.prot
OG0000000	Null	KAK4337514.1, KAK4337515.1, KAK4337516.1, KAK4337517.1, KAK4337518.1, KAK4337519.1, KAK4337520.1, KAK4337521.1, KAK4337522.1, KAK4337523.1, KAK4337524.1, KAK4337525.1, KAK4337526.1, KAK4337527.1, KAK4337528.1, KAK4337529.1, KAK4337530.1, KAK4337531.1, KAK4337556.1, KAK4338768.1, KAK4338769.1, KAK4338770.1, KAK4338771.1, KAK4338772.1, KAK4338773.1, KAK4338774.1, KAK4338775.1, KAK4338777.1, KAK4338778.1, KAK4338779.1, KAK4338780.1, KAK4338781.1, KAK4338782.1, KAK4338783.1, KAK4338784.1, KAK4338785.1, KAK4340538.1, KAK4341733.1, KAK4341734.1, KAK4341735.1, KAK4342526.1, KAK4343218.1, KAK4343219.1, KAK4343220.1, KAK4343221.1, KAK4343222.1, KAK4343223.1, KAK4343224.1, KAK4343226.1, KAK4343227.1, KAK4343228.1, KAK4343229.1, KAK4343230.1, KAK4343231.1, KAK4343232.1, KAK4344455.1, KAK4344456.1, KAK4344457.1, KAK4344458.1, KAK4346137.1, KAK4346138.1, KAK4346139.1, KAK4346140.1, KAK4346141.1, KAK4348311.1, KAK4348312.1, KAK4348313.1, KAK4348314.1, KAK4348315.1, KAK4348316.1, KAK4348317.1, KAK4348318.1, KAK4348319.1, KAK4349723.1, KAK4349724.1, KAK4349725.1, KAK4349726.1, KAK4349727.1, KAK4349728.1, KAK4351734.1, KAK4351735.1, KAK4351736.1, KAK4351737.1, KAK4353519.1, KAK4353520.1, KAK4353521.1, KAK4353522.1, KAK4353523.1, KAK4355057.1, KAK4355058.1, KAK4355059.1, KAK4355060.1, KAK4356742.1, KAK4356743.1, KAK4356744.1, KAK4356745.1, KAK4356746.1, KAK4356747.1, KAK4358419.1, KAK4358420.1, KAK4358421.1, KAK4358422.1, KAK4358423.1, KAK4358424.1, KAK4358425.1, KAK4358426.1, KAK4358427.1, KAK4358428.1, KAK4358429.1, KAK4358430.1, KAK4358431.1, KAK4358432.1, KAK4360115.1, KAK4360117.1, KAK4360118.1, KAK4360119.1, KAK4360120.1, KAK4360121.1, KAK4360122.1, KAK4360123.1, KAK4360124.1, KAK4361691.1, KAK4361692.1, KAK4361693.1, KAK4361694.1, KAK4361695.1, KAK4361696.1, KAK4361697.1, KAK4361698.1, KAK4363833.1, KAK4363834.1, KAK4363835.1, KAK4363837.1, KAK4363838.1, KAK4363839.1, KAK4363840.1, KAK4363841.1, KAK4363842.1, KAK4363843.1, KAK4363844.1, KAK4363845.1, KAK4363846.1, KAK4367307.1, KAK4367308.1, KAK4367309.1, KAK4367310.1, KAK4367311.1, KAK4367312.1, KAK4367313.1, KAK4367314.1, KAK4367315.1, KAK4367316.1, KAK4369666.1, KAK4369667.1, KAK4369668.1, KAK4369669.1, KAK4369670.1, KAK4369671.1, KAK4371626.1, KAK4371627.1, KAK4371628.1, KAK4371629.1, KAK4371630.1, KAK4371631.1, KAK4371632.1, KAK4371633.1, KAK4371634.1, KAK4371635.1, KAK4373753.1, KAK4373754.1, KAK4373755.1, KAK4373756.1, KAK4373757.1, KAK4373758.1, KAK4373759.1, KAK4374547.1, KAK4376338.1, KAK4376339.1, KAK4376340.1, KAK4376341.1, KAK4378139.1, KAK4378140.1, KAK4378141.1, KAK4378142.1, KAK4378143.1, KAK4378144.1, KAK4378145.1, KAK4380222.1, KAK4380762.1, KAK4380763.1, KAK4380764.1, KAK4380765.1, KAK4380766.1, KAK4380767.1, KAK4380768.1, KAK4380769.1, KAK4380770.1, KAK4380771.1
OG0000001	KAJ8529714.1, KAJ8536475.1	KAK4336540.1, KAK4336544.1, KAK4336735.1, KAK4338230.1, KAK4338578.1, KAK4338858.1, KAK4339011.1, KAK4340597.1, KAK4340606.1, KAK4340775.1, KAK4340799.1, KAK4340832.1, KAK4340869.1, KAK4341154.1, KAK4341745.1, KAK4342287.1, KAK4342495.1, KAK4342514.1, KAK4342713.1, KAK4342722.1, KAK4343040.1, KAK4344143.1, KAK4345238.1, KAK4345279.1, KAK4345905.1, KAK4346002.1, KAK4346019.1, KAK4346025.1, KAK4346961.1, KAK4347055.1, KAK4347064.1, KAK4347085.1, KAK4348218.1, KAK4348266.1, KAK4348782.1, KAK4348838.1, KAK4348854.1, KAK4349011.1, KAK4349644.1, KAK4349711.1, KAK4350461.1, KAK4350524.1, KAK4350538.1, KAK4350669.1, KAK4350696.1, KAK4351455.1, KAK4351546.1, KAK4351557.1, KAK4351562.1, KAK4351665.1, KAK4351709.1, KAK4352439.1, KAK4352469.1, KAK4352525.1, KAK4352549.1, KAK4352609.1, KAK4352696.1, KAK4352811.1, KAK4353114.1, KAK4353151.1, KAK4353152.1, KAK4353179.1, KAK4353197.1, KAK4353217.1, KAK4354375.1, KAK4354380.1, KAK4354383.1, KAK4354386.1, KAK4354402.1, KAK4354408.1, KAK4354767.1, KAK4354915.1, KAK4355546.1, KAK4355559.1, KAK4355573.1, KAK4355712.1, KAK4355910.1, KAK4356001.1, KAK4358263.1, KAK4358278.1, KAK4358302.1, KAK4358652.1, KAK4359686.1, KAK4359715.1, KAK4360427.1, KAK4360837.1, KAK4360865.1, KAK4362332.1, KAK4362479.1, KAK4362733.1, KAK4362861.1, KAK4363524.1, KAK4363537.1, KAK4364123.1, KAK4364279.1, KAK4364459.1, KAK4364469.1, KAK4364549.1, KAK4364588.1, KAK4365388.1, KAK4365993.1, KAK4366363.1, KAK4366366.1, KAK4366490.1, KAK4366882.1, KAK4368006.1, KAK4368107.1, KAK4368543.1, KAK4369217.1, KAK4369257.1, KAK4369310.1, KAK4369874.1, KAK4369879.1, KAK4369909.1, KAK4370445.1, KAK4370479.1, KAK4370748.1, KAK4372467.1, KAK4372470.1, KAK4372477.1, KAK4372584.1, KAK4372593.1, KAK4373734.1, KAK4374908.1, KAK4374914.1, KAK4374957.1, KAK4375808.1, KAK4377058.1, KAK4377262.1, KAK4377274.1, KAK4377647.1, KAK4377649.1, KAK4377693.1, KAK4377714.1, KAK4378517.1, KAK4378798.1, KAK4379273.1, KAK4380322.1, KAK4380351.1
OG0000002	Null	KAK4337659.1, KAK4338264.1, KAK4339435.1, KAK4341177.1, KAK4341423.1, KAK4341482.1, KAK4341686.1, KAK4342792.1, KAK4342943.1, KAK4343630.1, KAK4343778.1, KAK4344020.1, KAK4345020.1, KAK4345029.1, KAK4345030.1, KAK4345424.1, KAK4345425.1, KAK4347568.1, KAK4348114.1, KAK4349188.1, KAK4351012.1, KAK4351077.1, KAK4351491.1, KAK4351574.1, KAK4352507.1, KAK4354579.1, KAK4354580.1, KAK4354581.1, KAK4354582.1, KAK4354583.1, KAK4354806.1, KAK4355478.1, KAK4357945.1, KAK4359023.1, KAK4359024.1, KAK4359657.1, KAK4360205.1, KAK4360216.1, KAK4360324.1, KAK4360325.1, KAK4363656.1, KAK4364578.1, KAK4364659.1, KAK4366567.1, KAK4368047.1, KAK4368215.1, KAK4368531.1, KAK4368532.1, KAK4369063.1, KAK4369188.1, KAK4370203.1, KAK4370208.1, KAK4370209.1, KAK4371646.1, KAK4372953.1, KAK4373327.1, KAK4375122.1, KAK4376794.1, KAK4376919.1, KAK4380392.1
OG0000003	KAJ8528553.1, KAJ8528962.1, KAJ8529256.1, KAJ8529284.1, KAJ8531036.1, KAJ8531291.1, KAJ8531631.1, KAJ8532072.1, KAJ8532091.1, KAJ8532118.1, KAJ8532917.1, KAJ8532922.1, KAJ8532940.1, KAJ8533850.1, KAJ8534556.1, KAJ8535627.1, KAJ8536770.1, KAJ8537255.1, KAJ8538257.1, KAJ8538314.1, KAJ8538317.1, KAJ8539208.1, KAJ8539620.1, KAJ8540097.1, KAJ8541802.1, KAJ8542763.1, KAJ8543211.1, KAJ8547496.1, KAJ8547611.1, KAJ8547736.1, KAJ8549908.1, KAJ8550936.1, KAJ8551058.1, KAJ8552758.1, KAJ8555259.1, KAJ8555558.1, KAJ8558194.1, KAJ8559322.1, KAJ8562418.1, KAJ8562419.1, KAJ8562971.1, KAJ8567370.1, KAJ8567380.1, KAJ8567914.1, KAJ8568099.1, KAJ8569797.1, KAJ8570269.1, KAJ8570519.1, KAJ8570719.1, KAJ8570753.1, KAJ8570903.1, KAJ8570968.1, KAJ8573869.1, KAJ8574031.1, KAJ8574032.1	
OG0000004	KAJ8525837.1, KAJ8526200.1, KAJ8527283.1, KAJ8528115.1, KAJ8528116.1, KAJ8528119.1, KAJ8528120.1, KAJ8528121.1, KAJ8528122.1, KAJ8531172.1, KAJ8531605.1, KAJ8532676.1, KAJ8532677.1, KAJ8534371.1, KAJ8534372.1, KAJ8534373.1, KAJ8534374.1, KAJ8534375.1, KAJ8535585.1, KAJ8535745.1, KAJ8535746.1, KAJ8535747.1, KAJ8537262.1, KAJ8537604.1, KAJ8538600.1, KAJ8538601.1, KAJ8538602.1, KAJ8539888.1, KAJ8539889.1, KAJ8539890.1, KAJ8539891.1, KAJ8540195.1, KAJ8542371.1, KAJ8542372.1, KAJ8543641.1, KAJ8546483.1, KAJ8548200.1, KAJ8548999.1, KAJ8552141.1, KAJ8552142.1, KAJ8555951.1, KAJ8555953.1, KAJ8558554.1, KAJ8559267.1, KAJ8560851.1, KAJ8562070.1, KAJ8565126.1, KAJ8570248.1, KAJ8570249.1, KAJ8570275.1, KAJ8574076.1, KAJ8574077.1	KAK4363847.1
OG0000005	KAJ8526239.1, KAJ8526419.1, KAJ8526532.1, KAJ8527706.1, KAJ8529108.1, KAJ8531326.1, KAJ8531411.1, KAJ8531506.1, KAJ8531507.1, KAJ8532930.1, KAJ8535672.1, KAJ8535673.1, KAJ8537150.1, KAJ8538022.1, KAJ8538023.1, KAJ8538459.1, KAJ8538846.1, KAJ8539408.1, KAJ8540047.1, KAJ8541408.1, KAJ8541989.1, KAJ8541990.1, KAJ8544694.1, KAJ8544695.1, KAJ8547974.1, KAJ8548149.1, KAJ8551781.1, KAJ8554419.1, KAJ8555194.1, KAJ8556509.1, KAJ8561488.1, KAJ8562446.1, KAJ8562447.1, KAJ8562448.1, KAJ8562528.1, KAJ8562538.1, KAJ8562671.1, KAJ8563623.1, KAJ8563624.1, KAJ8563703.1, KAJ8564427.1, KAJ8564732.1, KAJ8566121.1, KAJ8568054.1, KAJ8569941.1, KAJ8570631.1, KAJ8571011.1, KAJ8574037.1, KAJ8574068.1	KAK4359591.1
OG0000006	Null	KAK4340414.1, KAK4340415.1, KAK4340416.1, KAK4340417.1, KAK4340418.1, KAK4340419.1, KAK4340420.1, KAK4340421.1, KAK4340423.1, KAK4340424.1, KAK4340425.1, KAK4340426.1, KAK4340427.1, KAK4340429.1, KAK4340431.1, KAK4345432.1, KAK4345433.1, KAK4345435.1, KAK4360004.1, KAK4360006.1, KAK4360008.1, KAK4360011.1, KAK4360013.1, KAK4360015.1, KAK4360017.1, KAK4360021.1, KAK4360024.1, KAK4360026.1, KAK4360029.1, KAK4369759.1, KAK4377342.1, KAK4377343.1, KAK4377344.1, KAK4378223.1, KAK4378224.1, KAK4378225.1, KAK4378226.1, KAK4378227.1, KAK4378228.1, KAK4378229.1, KAK4378231.1, KAK4378232.1, KAK4378233.1, KAK4378234.1, KAK4378235.1
OG0000007	KAJ8529017.1, KAJ8532660.1, KAJ8532986.1, KAJ8534771.1, KAJ8534962.1, KAJ8537136.1, KAJ8537599.1, KAJ8538121.1, KAJ8538481.1, KAJ8538759.1, KAJ8540015.1, KAJ8540148.1, KAJ8541958.1, KAJ8542751.1, KAJ8544874.1, KAJ8550836.1, KAJ8551027.1, KAJ8551725.1, KAJ8553767.1, KAJ8554053.1, KAJ8555581.1, KAJ8558050.1, KAJ8561020.1, KAJ8562098.1, KAJ8562314.1, KAJ8562326.1, KAJ8564395.1, KAJ8564691.1, KAJ8564712.1, KAJ8565877.1, KAJ8566041.1, KAJ8567313.1, KAJ8568811.1, KAJ8569940.1, KAJ8573347.1, KAJ8573804.1, KAJ8573830.1, KAJ8573989.1, KAJ8574055.1, KAJ8574408.1	KAK4342850.1
OG0000008	KAJ8555142.1	KAK4338039.1, KAK4341383.1, KAK4342788.1, KAK4344704.1, KAK4345101.1, KAK4345429.1, KAK4349288.1, KAK4349423.1, KAK4351303.1, KAK4353323.1, KAK4353963.1, KAK4354493.1, KAK4356015.1, KAK4357368.1, KAK4357431.1, KAK4357632.1, KAK4357805.1, KAK4358698.1, KAK4359773.1, KAK4360779.1, KAK4361897.1, KAK4362537.1, KAK4362848.1, KAK4363127.1, KAK4364634.1, KAK4366148.1, KAK4367862.1, KAK4369287.1, KAK4370449.1, KAK4372225.1, KAK4372786.1, KAK4372876.1, KAK4373374.1, KAK4374808.1, KAK4375250.1, KAK4376250.1, KAK4379722.1, KAK4379887.1
