Orthogroup	Apatococcus_fuscideae-Prasiolales.prot	Apatococcus_lobatus-Prasiolales.prot
OG0000000	KAK9832770.1, KAK9843919.1, KAK9858411.1, KAK9858416.1, KAK9858830.1, KAK9868177.1	KAK9822524.1, KAK9827849.1, KAK9828229.1, KAK9828230.1, KAK9836521.1, KAK9836608.1, KAK9836706.1, KAK9836726.1, KAK9840050.1, KAK9841239.1, KAK9842899.1, KAK9843214.1
OG0000001	KAK9856141.1, KAK9869097.1	KAK9818715.1, KAK9818746.1, KAK9818754.1, KAK9821371.1, KAK9821894.1, KAK9833228.1, KAK9833627.1, KAK9838752.1, KAK9838807.1, KAK9838907.1, KAK9838989.1, KAK9839969.1, KAK9840004.1, KAK9840267.1
OG0000002	KAK9837058.1, KAK9837059.1, KAK9843587.1, KAK9843589.1, KAK9849251.1, KAK9849253.1, KAK9864073.1, KAK9864074.1, KAK9864075.1, KAK9864441.1, KAK9866518.1, KAK9866519.1, KAK9866868.1, KAK9866870.1	KAK9825556.1
OG0000003	KAK9867439.1	KAK9816199.1, KAK9818970.1, KAK9819447.1, KAK9822512.1, KAK9824892.1, KAK9824936.1, KAK9826050.1, KAK9834401.1, KAK9834668.1, KAK9837755.1, KAK9838011.1, KAK9838825.1, KAK9841580.1, KAK9841581.1
OG0000004	Null	KAK9817506.1, KAK9817520.1, KAK9827762.1, KAK9827921.1, KAK9834508.1, KAK9834554.1, KAK9834556.1, KAK9834798.1, KAK9835428.1, KAK9835497.1, KAK9835574.1, KAK9835708.1, KAK9835899.1, KAK9838743.1, KAK9838744.1
OG0000005	KAK9840691.1, KAK9860417.1, KAK9860452.1, KAK9864938.1, KAK9865544.1, KAK9866562.1, KAK9867905.1	KAK9818713.1, KAK9819346.1, KAK9821194.1, KAK9832392.1, KAK9832393.1, KAK9834779.1
OG0000006	KAK9843557.1	KAK9816338.1, KAK9817363.1, KAK9817369.1, KAK9822307.1, KAK9822335.1, KAK9822763.1, KAK9831596.1, KAK9833754.1, KAK9833767.1, KAK9841255.1, KAK9843163.1
OG0000007	KAK9868660.1	KAK9818549.1, KAK9822743.1, KAK9822902.1, KAK9822903.1, KAK9822904.1, KAK9827014.1, KAK9827802.1, KAK9834773.1, KAK9837658.1, KAK9837873.1, KAK9844423.1
OG0000008	KAK9867334.1	KAK9820734.1, KAK9824752.1, KAK9824753.1, KAK9830678.1, KAK9830843.1, KAK9832212.1, KAK9836902.1, KAK9836903.1, KAK9836904.1, KAK9840201.1
OG0000009	Null	KAK9816064.1, KAK9816071.1, KAK9820888.1, KAK9820889.1, KAK9825335.1, KAK9825789.1, KAK9825790.1, KAK9834524.1, KAK9836490.1, KAK9842844.1, KAK9844388.1
OG0000010	Null	KAK9816185.1, KAK9818948.1, KAK9818957.1, KAK9822949.1, KAK9825991.1, KAK9834797.1, KAK9837679.1, KAK9840305.1, KAK9840418.1, KAK9842856.1, KAK9843168.1
OG0000011	KAK9851135.1, KAK9856477.1, KAK9863239.1, KAK9864478.1	KAK9821652.1, KAK9825494.1, KAK9826689.1, KAK9833611.1, KAK9836474.1, KAK9844668.1
OG0000012	KAK9853394.1, KAK9853395.1, KAK9853396.1, KAK9853397.1, KAK9865669.1, KAK9866121.1, KAK9866122.1, KAK9866125.1, KAK9866128.1, KAK9866428.1	
OG0000013	KAK9865412.1	KAK9815998.1, KAK9816381.1, KAK9816390.1, KAK9821150.1, KAK9821180.1, KAK9834635.1, KAK9836749.1, KAK9836870.1, KAK9841508.1
OG0000014	KAK9839400.1	KAK9816410.1, KAK9820878.1, KAK9820879.1, KAK9827895.1, KAK9827896.1, KAK9842734.1, KAK9842881.1, KAK9842882.1
OG0000015	KAK9842430.1, KAK9842431.1, KAK9842432.1, KAK9861494.1, KAK9861495.1, KAK9861500.1	KAK9817564.1, KAK9817565.1, KAK9817566.1
OG0000016	KAK9847607.1, KAK9850110.1, KAK9867481.1, KAK9867766.1	KAK9820699.1, KAK9824882.1, KAK9824946.1, KAK9834470.1, KAK9834541.1
OG0000017	KAK9851908.1, KAK9851909.1, KAK9867949.1, KAK9867950.1, KAK9867951.1, KAK9867952.1, KAK9867953.1, KAK9867954.1	KAK9844569.1
OG0000018	KAK9861551.1	KAK9817500.1, KAK9825060.1, KAK9825112.1, KAK9832247.1, KAK9832248.1, KAK9832249.1, KAK9832347.1, KAK9833679.1
OG0000019	KAK9864713.1, KAK9864714.1, KAK9864715.1, KAK9864716.1	KAK9817584.1, KAK9821006.1, KAK9821007.1, KAK9821008.1, KAK9821056.1
OG0000020	KAK9833244.1	KAK9822285.1, KAK9832254.1, KAK9836788.1, KAK9836918.1, KAK9842988.1, KAK9842989.1, KAK9843228.1
OG0000021	KAK9834083.1	KAK9818594.1, KAK9818595.1, KAK9832271.1, KAK9832399.1, KAK9832400.1, KAK9832401.1, KAK9837754.1
OG0000022	KAK9835940.1, KAK9835941.1, KAK9835942.1, KAK9861929.1, KAK9864028.1, KAK9864029.1	KAK9840446.1, KAK9840447.1
OG0000023	KAK9836215.1, KAK9862768.1, KAK9864851.1, KAK9865250.1, KAK9867774.1	KAK9824937.1, KAK9824947.1, KAK9834408.1
OG0000024	KAK9836216.1, KAK9862773.1, KAK9864730.1, KAK9865247.1, KAK9867781.1	KAK9824888.1, KAK9824926.1, KAK9834664.1
OG0000025	KAK9837382.1, KAK9839598.1, KAK9861263.1, KAK9864613.1, KAK9864789.1, KAK9867641.1, KAK9868179.1	KAK9839942.1
OG0000026	KAK9837548.1, KAK9837549.1, KAK9837550.1, KAK9837551.1, KAK9865987.1, KAK9868396.1, KAK9868397.1, KAK9868398.1	
OG0000027	KAK9838584.1, KAK9857252.1, KAK9866936.1, KAK9867095.1, KAK9868328.1	KAK9825336.1, KAK9828191.1, KAK9844470.1
OG0000028	KAK9846243.1	KAK9817501.1, KAK9817502.1, KAK9826246.1, KAK9826307.1, KAK9826316.1, KAK9826320.1, KAK9826325.1
OG0000029	KAK9856423.1, KAK9856424.1, KAK9856425.1	KAK9821823.1, KAK9821875.1, KAK9825245.1, KAK9825300.1, KAK9826673.1
OG0000030	KAK9862313.1, KAK9862316.1, KAK9868275.1	KAK9825271.1, KAK9826925.1, KAK9827074.1, KAK9827138.1, KAK9834405.1
OG0000031	KAK9862529.1	KAK9817509.1, KAK9817633.1, KAK9826993.1, KAK9844462.1, KAK9844810.1, KAK9844892.1, KAK9844962.1
OG0000032	KAK9863170.1	KAK9832161.1, KAK9832314.1, KAK9835850.1, KAK9844411.1, KAK9844635.1, KAK9844678.1, KAK9844717.1
OG0000033	KAK9864169.1	KAK9818951.1, KAK9822532.1, KAK9825532.1, KAK9825533.1, KAK9833749.1, KAK9835554.1, KAK9835852.1
OG0000034	KAK9866218.1	KAK9819471.1, KAK9821169.1, KAK9826019.1, KAK9827751.1, KAK9827863.1, KAK9835483.1, KAK9835683.1
OG0000035	KAK9831917.1	KAK9816271.1, KAK9833616.1, KAK9833722.1, KAK9837769.1, KAK9838033.1, KAK9844835.1
OG0000036	KAK9832473.1, KAK9835120.1, KAK9860329.1, KAK9863021.1, KAK9864021.1, KAK9865100.1, KAK9868263.1	
OG0000037	KAK9832767.1, KAK9850453.1, KAK9850632.1, KAK9866695.1, KAK9867080.1	KAK9826228.1, KAK9833010.1
OG0000038	KAK9833591.1, KAK9862431.1	KAK9840061.1, KAK9840314.1, KAK9840315.1, KAK9840501.1, KAK9841518.1
OG0000039	KAK9835100.1, KAK9835101.1, KAK9867838.1	KAK9831767.1, KAK9831768.1, KAK9831769.1, KAK9831770.1
OG0000040	KAK9835274.1, KAK9841100.1, KAK9847906.1, KAK9862403.1, KAK9862407.1	KAK9816284.1, KAK9844996.1
OG0000041	KAK9836064.1	KAK9817444.1, KAK9824932.1, KAK9826237.1, KAK9827146.1, KAK9839026.1, KAK9844532.1
OG0000042	KAK9837056.1, KAK9857568.1	KAK9816004.1, KAK9816245.1, KAK9819228.1, KAK9827910.1, KAK9832377.1
OG0000043	KAK9840696.1, KAK9864824.1, KAK9864825.1, KAK9865698.1, KAK9866420.1	KAK9821881.1, KAK9821888.1
OG0000044	KAK9841939.1, KAK9864246.1, KAK9864253.1, KAK9864255.1, KAK9866963.1	KAK9836740.1, KAK9836822.1
OG0000045	KAK9843854.1, KAK9843855.1, KAK9847791.1, KAK9862480.1, KAK9862481.1, KAK9865093.1, KAK9865098.1	
OG0000046	KAK9843923.1, KAK9848337.1, KAK9861119.1	KAK9826319.1, KAK9836509.1, KAK9836848.1, KAK9836921.1
OG0000047	KAK9843927.1, KAK9843928.1, KAK9863894.1, KAK9863895.1	KAK9819451.1, KAK9827888.1, KAK9827889.1
OG0000048	KAK9844241.1, KAK9844242.1, KAK9844243.1, KAK9847601.1, KAK9861166.1, KAK9866517.1, KAK9866555.1	
OG0000049	KAK9846078.1, KAK9846079.1, KAK9846080.1, KAK9846081.1, KAK9846082.1	KAK9839922.1, KAK9839923.1
OG0000050	KAK9850103.1, KAK9850104.1, KAK9850105.1, KAK9850106.1, KAK9850107.1, KAK9864801.1, KAK9864802.1	
OG0000051	KAK9850625.1, KAK9850630.1, KAK9866452.1, KAK9866453.1	KAK9822931.1, KAK9822938.1, KAK9837615.1
OG0000052	KAK9852610.1, KAK9852611.1, KAK9852612.1, KAK9866537.1	KAK9821826.1, KAK9821827.1, KAK9821828.1
OG0000053	KAK9853625.1, KAK9853626.1	KAK9822597.1, KAK9832961.1, KAK9841455.1, KAK9841456.1, KAK9844971.1
OG0000054	KAK9854478.1, KAK9854479.1, KAK9854480.1, KAK9861086.1, KAK9861087.1	KAK9822425.1, KAK9822426.1
OG0000055	KAK9855744.1, KAK9867590.1, KAK9867591.1	KAK9819231.1, KAK9825738.1, KAK9835809.1, KAK9839060.1
OG0000056	KAK9858380.1, KAK9858381.1, KAK9858384.1, KAK9858389.1, KAK9858873.1, KAK9859389.1	KAK9834457.1
OG0000057	KAK9861223.1, KAK9861224.1, KAK9866825.1	KAK9836664.1, KAK9836665.1, KAK9836666.1, KAK9836667.1
OG0000058	KAK9861295.1, KAK9864599.1, KAK9864600.1	KAK9826632.1, KAK9826633.1, KAK9830723.1, KAK9831054.1
OG0000059	KAK9861355.1, KAK9861356.1, KAK9865127.1	KAK9815971.1, KAK9818891.1, KAK9818892.1, KAK9818899.1
OG0000060	KAK9861757.1, KAK9866655.1	KAK9818771.1, KAK9818790.1, KAK9819042.1, KAK9836815.1, KAK9844277.1
OG0000061	KAK9862527.1	KAK9844793.1, KAK9844807.1, KAK9844873.1, KAK9844874.1, KAK9844875.1, KAK9844876.1
OG0000062	KAK9863138.1, KAK9863139.1, KAK9868304.1, KAK9868305.1	KAK9832208.1, KAK9834497.1, KAK9834498.1
OG0000063	KAK9863270.1	KAK9827554.1, KAK9827555.1, KAK9840024.1, KAK9844544.1, KAK9845081.1, KAK9845082.1
OG0000064	KAK9863350.1, KAK9863351.1, KAK9863352.1, KAK9866848.1, KAK9866849.1	KAK9830806.1, KAK9830807.1
OG0000065	KAK9863888.1, KAK9865496.1, KAK9865503.1, KAK9866126.1, KAK9866134.1, KAK9866150.1	KAK9826975.1
OG0000066	KAK9864773.1, KAK9864774.1, KAK9867928.1	KAK9840439.1, KAK9840440.1, KAK9840441.1, KAK9840442.1
OG0000067	KAK9864843.1	KAK9816104.1, KAK9826916.1, KAK9826957.1, KAK9827067.1, KAK9827081.1, KAK9831062.1
OG0000068	KAK9866955.1, KAK9866956.1	KAK9821190.1, KAK9822116.1, KAK9831105.1, KAK9839142.1, KAK9841336.1
OG0000069	KAK9867081.1, KAK9867082.1, KAK9867133.1	KAK9844643.1, KAK9844644.1, KAK9844645.1, KAK9844646.1
OG0000070	KAK9867287.1, KAK9867288.1	KAK9822080.1, KAK9822081.1, KAK9822082.1, KAK9822083.1, KAK9822084.1
OG0000071	KAK9867909.1, KAK9868656.1	KAK9826226.1, KAK9826331.1, KAK9842956.1, KAK9842957.1, KAK9843277.1
OG0000072	Null	KAK9816036.1, KAK9816041.1, KAK9816042.1, KAK9816348.1, KAK9819217.1, KAK9833801.1, KAK9833802.1
OG0000073	Null	KAK9816094.1, KAK9816165.1, KAK9827199.1, KAK9830660.1, KAK9833856.1, KAK9844469.1, KAK9844648.1
OG0000074	Null	KAK9817338.1, KAK9817353.1, KAK9825956.1, KAK9826069.1, KAK9840219.1, KAK9840269.1, KAK9840412.1
OG0000075	KAK9831926.1	KAK9816343.1, KAK9816352.1, KAK9818814.1, KAK9821513.1, KAK9842685.1
OG0000076	KAK9832020.1, KAK9832860.1, KAK9836243.1, KAK9838399.1, KAK9862126.1, KAK9868346.1	
OG0000077	KAK9832471.1, KAK9832472.1, KAK9862014.1, KAK9862015.1	KAK9843150.1, KAK9843151.1
OG0000078	KAK9832685.1, KAK9855141.1, KAK9855142.1, KAK9863850.1, KAK9863854.1	KAK9843273.1
OG0000079	KAK9833350.1	KAK9817433.1, KAK9817434.1, KAK9817435.1, KAK9817436.1, KAK9821868.1
OG0000080	KAK9833491.1, KAK9843888.1	KAK9831664.1, KAK9833013.1, KAK9836459.1, KAK9839102.1
OG0000081	KAK9834117.1	KAK9822295.1, KAK9822336.1, KAK9822350.1, KAK9825305.1, KAK9825988.1
OG0000082	KAK9834924.1, KAK9834925.1, KAK9834926.1, KAK9834927.1, KAK9834928.1, KAK9834929.1	
OG0000083	KAK9836210.1, KAK9849804.1, KAK9849805.1	KAK9837569.1, KAK9837570.1, KAK9837627.1
OG0000084	KAK9836252.1, KAK9865711.1, KAK9865712.1, KAK9868711.1	KAK9841180.1, KAK9841181.1
OG0000085	KAK9836256.1, KAK9843872.1, KAK9843873.1	KAK9819503.1, KAK9819540.1, KAK9819541.1
OG0000086	KAK9837055.1, KAK9839566.1, KAK9864702.1, KAK9864705.1, KAK9864707.1	KAK9821249.1
OG0000087	KAK9838204.1, KAK9857552.1, KAK9865641.1, KAK9868480.1	KAK9818624.1, KAK9843318.1
OG0000088	KAK9838216.1, KAK9866063.1, KAK9866064.1, KAK9866813.1	KAK9822798.1, KAK9836419.1
OG0000089	KAK9838406.1, KAK9861169.1, KAK9861170.1, KAK9865913.1	KAK9833788.1, KAK9841134.1
OG0000090	KAK9838426.1, KAK9854486.1, KAK9863489.1, KAK9866462.1, KAK9866463.1, KAK9866464.1	
OG0000091	KAK9839396.1, KAK9839397.1, KAK9839398.1, KAK9839399.1	KAK9817631.1, KAK9841362.1
OG0000092	KAK9839724.1, KAK9839725.1, KAK9839726.1	KAK9820741.1, KAK9821411.1, KAK9833709.1
OG0000093	KAK9839894.1, KAK9864235.1, KAK9866674.1	KAK9817524.1, KAK9833740.1, KAK9836552.1
OG0000094	KAK9840516.1, KAK9840517.1, KAK9840518.1, KAK9864413.1	KAK9821389.1, KAK9821390.1
OG0000095	KAK9840685.1, KAK9840686.1, KAK9862888.1	KAK9824960.1, KAK9824961.1, KAK9824962.1
