Orthogroup	Panicum_miliaceum-Poales-Poaceae-Panicum.prot	Panicum_virgatum-Poales-Poaceae-Panium.prot
OG0000000	Null	XP_039771205.1, XP_039772026.1, XP_039772165.1, XP_039773549.1, XP_039775491.1, XP_039778947.1, XP_039779563.1, XP_039780260.1, XP_039780591.1, XP_039780798.1, XP_039780854.1, XP_039780899.1, XP_039780900.1, XP_039780919.1, XP_039780931.1, XP_039780933.1, XP_039781529.1, XP_039781534.1, XP_039782334.1, XP_039782850.1, XP_039782851.1, XP_039784011.1, XP_039784012.1, XP_039784013.1, XP_039784467.1, XP_039785482.1, XP_039786196.1, XP_039786844.1, XP_039787317.1, XP_039787746.1, XP_039789309.1, XP_039789771.1, XP_039791244.1, XP_039791417.1, XP_039792912.1, XP_039793131.1, XP_039795404.1, XP_039796978.1, XP_039797392.1, XP_039797479.1, XP_039797720.1, XP_039798289.1, XP_039800241.1, XP_039801114.1, XP_039802410.1, XP_039802411.1, XP_039803397.1, XP_039803618.1, XP_039803730.1, XP_039803925.1, XP_039804947.1, XP_039805120.1, XP_039806035.1, XP_039806036.1, XP_039806370.1, XP_039808532.1, XP_039809549.1, XP_039809720.1, XP_039810274.1, XP_039810275.1, XP_039811581.1, XP_039811702.1, XP_039811762.1, XP_039811773.1, XP_039811774.1, XP_039811789.1, XP_039811854.1, XP_039811942.1, XP_039812024.1, XP_039812046.1, XP_039812132.1, XP_039813111.1, XP_039813112.1, XP_039813113.1, XP_039813709.1, XP_039813710.1, XP_039813889.1, XP_039813890.1, XP_039813892.1, XP_039813893.1, XP_039814514.1, XP_039815019.1, XP_039815226.1, XP_039815271.1, XP_039815316.1, XP_039815347.1, XP_039816184.1, XP_039816185.1, XP_039816186.1, XP_039817121.1, XP_039817122.1, XP_039817123.1, XP_039817124.1, XP_039817548.1, XP_039818021.1, XP_039818025.1, XP_039818031.1, XP_039818569.1, XP_039818618.1, XP_039821631.1, XP_039822570.1, XP_039822730.1, XP_039822810.1, XP_039823991.1, XP_039825974.1, XP_039827054.1, XP_039827061.1, XP_039827095.1, XP_039827158.1, XP_039827417.1, XP_039827435.1, XP_039827565.1, XP_039827590.1, XP_039829880.1, XP_039830514.1, XP_039832129.1, XP_039832189.1, XP_039832390.1, XP_039832671.1, XP_039833114.1, XP_039834485.1, XP_039834525.1, XP_039834569.1, XP_039834634.1, XP_039834864.1, XP_039835004.1, XP_039835072.1, XP_039835096.1, XP_039837206.1, XP_039837207.1, XP_039837208.1, XP_039840771.1, XP_039840817.1, XP_039840905.1, XP_039840906.1, XP_039841175.1, XP_039841561.1, XP_039841652.1, XP_039841928.1, XP_039841929.1, XP_039843073.1, XP_039845643.1, XP_039846554.1, XP_039846555.1, XP_039846556.1, XP_039851267.1, XP_039851355.1, XP_039853128.1, XP_039855240.1, XP_039855435.1
OG0000001	Pm1a017100.1, Pm1a051800.1, Pm1a052200.1, Pm1a069100.1, Pm1a088400.1, Pm1a097500.1, Pm1a169900.1, Pm1a230500.1, Pm1a230700.1, Pm1a255200.1, Pm1b047200.1, Pm1b127200.1, Pm1b200400.1, Pm1b209100.1, Pm1b276300.1, Pm1b315500.1, Pm1b352800.1, Pm2a030100.1, Pm2a113300.1, Pm2a168500.1, Pm2a227100.1, Pm2a287800.1, Pm2b023900.1, Pm2b054600.1, Pm2b082900.1, Pm2b083000.1, Pm2b089000.1, Pm2b095900.1, Pm2b099000.1, Pm2b127100.1, Pm2b152600.1, Pm2b186900.1, Pm2b268500.1, Pm2b345800.1, Pm3a128700.1, Pm3a134600.1, Pm3a240300.1, Pm3b006700.1, Pm3b116500.1, Pm3b130100.2, Pm3b135800.1, Pm3b155900.1, Pm3b235300.1, Pm3b235400.1, Pm3b386900.1, Pm3b413800.1, Pm3b421600.1, Pm4a006400.1, Pm4a006500.1, Pm4a118100.1, Pm4a229200.1, Pm4b014400.1, Pm4b114500.1, Pm4b121400.1, Pm4b129800.1, Pm4b235500.1, Pm4b251800.1, Pm4b262400.1, Pm4b268400.1, Pm5a051300.1, Pm5a103000.1, Pm5a137000.1, Pm5a254000.1, Pm5a269100.1, Pm5a271300.1, Pm5a290900.1, Pm5a297100.1, Pm5a300100.1, Pm5b006900.1, Pm5b074000.1, Pm5b080600.1, Pm5b186300.1, Pm5b227200.1, Pm5b333100.1, Pm5b333200.1, Pm5b428500.1, Pm5b430200.1, Pm6a009800.1, Pm6a065100.1, Pm6a067100.1, Pm6a115400.1, Pm6a148000.1, Pm6b032400.1, Pm6b032900.1, Pm6b054200.1, Pm6b105300.1, Pm6b141800.1, Pm6b160800.1, Pm6b160900.1, Pm6b164100.2, Pm7a206400.1, Pm7b005800.1, Pm7b006100.1, Pm7b012900.1, Pm7b013000.1, Pm7b037200.1, Pm7b081400.1, Pm7b091200.1, Pm7b091900.1, Pm7b099900.1, Pm7b100600.1, Pm7b145500.1, Pm7b196300.1, Pm7b254400.1, Pm7b276900.1, Pm8a024900.1, Pm8a069200.1, Pm8a075000.1, Pm8a097500.1, Pm8a119000.1, Pm8a168400.1, Pm8b076500.1, Pm8b147400.1, Pm8b164600.1, Pm9a085200.1, Pm9a129300.1, Pm9a169200.1, Pm9a218100.1, Pm9a356900.1, Pm9a373900.1, Pm9a441000.1, Pm9b041200.1, Pm9b092600.1, Pm9b145100.1, Pm9b145200.1, Pm9b279000.1, Pm9b305300.1, Pm9b403100.1, Pm9b412700.1, Pm9b452000.1, PmUn046800.1	XP_039818733.1, XP_039855235.1
OG0000002	Pm1a097600.1, Pm1a099700.1, Pm1a105500.1, Pm1a116300.1, Pm1a300700.1, Pm1a316400.1, Pm1b027400.1, Pm1b068300.1, Pm1b071700.1, Pm1b120800.1, Pm1b122400.1, Pm1b131200.1, Pm1b212700.1, Pm1b217100.1, Pm1b275700.1, Pm1b290700.1, Pm1b299900.1, Pm1b343200.1, Pm2a072600.1, Pm2a193200.1, Pm2a248700.1, Pm2a311300.1, Pm2a311400.1, Pm2a336100.1, Pm2b027900.1, Pm2b040400.1, Pm2b143400.1, Pm2b159500.1, Pm2b232100.1, Pm2b308700.1, Pm2b338500.1, Pm2b341100.1, Pm3a071900.1, Pm3a094400.1, Pm3a128600.1, Pm3a138500.1, Pm3a162800.1, Pm3a241300.1, Pm3a371700.1, Pm3b096100.1, Pm3b155800.1, Pm3b175500.1, Pm3b306700.1, Pm3b310500.1, Pm3b324600.1, Pm4a112600.1, Pm4a125700.1, Pm4a237500.1, Pm4b077700.1, Pm4b087100.1, Pm4b129700.1, Pm4b142000.1, Pm4b167900.1, Pm4b178500.1, Pm4b184800.1, Pm4b209500.1, Pm4b250300.1, Pm4b276300.1, Pm5a043800.1, Pm5a119300.1, Pm5a271200.1, Pm5a285900.1, Pm5a300000.1, Pm5a303600.1, Pm5a331900.1, Pm5b006800.1, Pm5b044000.1, Pm5b106600.1, Pm5b135100.1, Pm5b295400.1, Pm5b395500.1, Pm5b422700.1, Pm5b430300.1, Pm6a082500.1, Pm6a083200.1, Pm6b054300.1, Pm6b054400.1, Pm6b073800.1, Pm6b087600.1, Pm6b088600.1, Pm6b092800.1, Pm6b133800.1, Pm6b181000.1, Pm7a067800.1, Pm7a072800.1, Pm7a190400.1, Pm7a191300.1, Pm7a258500.1, Pm7b015600.1, Pm7b035300.1, Pm7b037600.1, Pm7b090500.1, Pm7b092000.1, Pm7b095200.1, Pm7b130200.1, Pm7b137600.1, Pm7b149300.1, Pm7b178500.1, Pm7b192800.1, Pm7b207800.1, Pm7b229300.1, Pm7b229400.1, Pm7b252400.1, Pm8a012300.1, Pm8a041500.1, Pm8a045300.1, Pm8a072200.1, Pm8a082100.1, Pm8a087500.1, Pm8a172500.1, Pm8b054000.1, Pm8b093300.1, Pm8b096100.1, Pm8b096200.1, Pm9a005000.1, Pm9a141000.1, Pm9a151100.1, Pm9a190100.1, Pm9a239100.1, Pm9a294200.1, Pm9b067600.1, Pm9b092500.1, Pm9b178500.1, Pm9b230000.1, Pm9b279100.1, Pm9b300400.1, Pm9b311300.1, Pm9b426600.1, Pm9b467000.1, Pm9b482500.1, PmUn109300.1	XP_039780664.1
OG0000003	Pm4a089500.1	XP_039771832.1, XP_039771973.1, XP_039772129.1, XP_039775426.1, XP_039775461.1, XP_039776344.1, XP_039776345.1, XP_039776346.1, XP_039776347.1, XP_039776348.1, XP_039776349.1, XP_039776875.1, XP_039777903.1, XP_039778143.1, XP_039778188.1, XP_039778245.1, XP_039778295.1, XP_039778312.1, XP_039778762.1, XP_039778779.1, XP_039778899.1, XP_039780740.1, XP_039780848.1, XP_039787064.1, XP_039787575.1, XP_039787678.1, XP_039787952.1, XP_039787953.1, XP_039790119.1, XP_039790977.1, XP_039793134.1, XP_039793278.1, XP_039793279.1, XP_039796347.1, XP_039797444.1, XP_039797632.1, XP_039797714.1, XP_039797762.1, XP_039797862.1, XP_039801945.1, XP_039802325.1, XP_039802326.1, XP_039803415.1, XP_039803512.1, XP_039803650.1, XP_039803826.1, XP_039803833.1, XP_039803994.1, XP_039804817.1, XP_039809500.1, XP_039811587.1, XP_039811782.1, XP_039812205.1, XP_039814791.1, XP_039815031.1, XP_039817550.1, XP_039817787.1, XP_039821969.1, XP_039822043.1, XP_039822583.1, XP_039822722.1, XP_039822836.1, XP_039822858.1, XP_039822917.1, XP_039823127.1, XP_039823989.1, XP_039823990.1, XP_039824034.1, XP_039824702.1, XP_039824774.1, XP_039824775.1, XP_039824781.1, XP_039824782.1, XP_039824789.1, XP_039825239.1, XP_039825240.1, XP_039827219.1, XP_039829103.1, XP_039833129.1, XP_039833235.1, XP_039834355.1, XP_039834554.1, XP_039834570.1, XP_039834839.1, XP_039835071.1, XP_039835110.1, XP_039835154.1, XP_039835159.1, XP_039835210.1, XP_039835211.1, XP_039835212.1, XP_039835224.1, XP_039835266.1, XP_039836409.1, XP_039841018.1, XP_039841019.1, XP_039841154.1, XP_039841201.1, XP_039841236.1, XP_039841357.1, XP_039843265.1, XP_039843510.1, XP_039843804.1, XP_039845442.1, XP_039845473.1, XP_039845555.1, XP_039851293.1, XP_039851300.1, XP_039851440.1, XP_039851717.1, XP_039852137.1, XP_039853352.1, XP_039855117.1, XP_039855136.1, XP_039855368.1, XP_039855376.1
OG0000004	Pm4b208400.1, Pm9b217500.1	XP_039771946.1, XP_039771995.1, XP_039773221.1, XP_039775068.1, XP_039775517.1, XP_039775946.1, XP_039777603.1, XP_039777605.1, XP_039778092.1, XP_039778195.1, XP_039778201.1, XP_039778578.1, XP_039779371.1, XP_039780505.1, XP_039780610.1, XP_039780626.1, XP_039780659.1, XP_039780662.1, XP_039780809.1, XP_039780938.1, XP_039781498.1, XP_039781515.1, XP_039782462.1, XP_039783726.1, XP_039783870.1, XP_039784690.1, XP_039784815.1, XP_039785202.1, XP_039785203.1, XP_039787070.1, XP_039787341.1, XP_039789122.1, XP_039789735.1, XP_039792894.1, XP_039792981.1, XP_039796547.1, XP_039797893.1, XP_039800573.1, XP_039800993.1, XP_039800994.1, XP_039803408.1, XP_039803410.1, XP_039803747.1, XP_039803816.1, XP_039804937.1, XP_039804948.1, XP_039806614.1, XP_039806616.1, XP_039806617.1, XP_039806618.1, XP_039806830.1, XP_039807648.1, XP_039808557.1, XP_039809702.1, XP_039811701.1, XP_039811956.1, XP_039813110.1, XP_039817218.1, XP_039817219.1, XP_039817220.1, XP_039817221.1, XP_039817316.1, XP_039818613.1, XP_039818725.1, XP_039818732.1, XP_039820468.1, XP_039821925.1, XP_039821934.1, XP_039822546.1, XP_039822683.1, XP_039825247.1, XP_039825585.1, XP_039827004.1, XP_039827007.1, XP_039827471.1, XP_039829630.1, XP_039834314.1, XP_039835271.1, XP_039836872.1, XP_039837512.1, XP_039837513.1, XP_039837514.1, XP_039837642.1, XP_039838263.1, XP_039838264.1, XP_039838272.1, XP_039838273.1, XP_039838274.1, XP_039838275.1, XP_039840442.1, XP_039840752.1, XP_039840896.1, XP_039840917.1, XP_039840926.1, XP_039840964.1, XP_039841699.1, XP_039849908.1, XP_039851285.1, XP_039851298.1, XP_039851332.1, XP_039851459.1, XP_039851777.1, XP_039851832.1, XP_039852165.1, XP_039852678.1, XP_039855360.1
OG0000005	Pm1a057300.1, Pm1a221400.1, Pm1a224800.1, Pm1b033200.1, Pm1b294100.1, Pm2a037100.1, Pm2a249200.1, Pm2a249400.1, Pm2a249500.1, Pm2b083500.1, Pm2b113200.1, Pm2b113300.1, Pm2b289100.1, Pm2b293600.1, Pm2b365500.1, Pm2b372300.1, Pm2b408800.1, Pm3a096200.1, Pm3a096300.1, Pm3a149100.1, Pm3a156400.1, Pm3a220700.1, Pm3b223800.1, Pm3b343500.1, Pm4a026200.1, Pm4a106000.1, Pm4a246500.1, Pm4b116400.1, Pm4b116500.1, Pm4b123700.1, Pm4b136500.1, Pm4b136600.1, Pm4b150500.1, Pm4b177800.1, Pm4b184300.1, Pm4b195400.1, Pm4b229800.1, Pm5a023400.1, Pm5a025800.1, Pm5a232700.2, Pm5a240200.1, Pm5a282200.1, Pm5b022200.1, Pm5b046800.1, Pm5b070100.1, Pm5b099900.2, Pm5b150200.1, Pm5b181500.1, Pm5b237600.1, Pm5b289400.1, Pm5b344400.1, Pm5b363200.1, Pm6b083400.1, Pm6b150900.1, Pm6b207100.1, Pm7a080800.1, Pm7a080900.1, Pm7a081000.1, Pm7a164200.1, Pm7a174900.1, Pm7a175000.1, Pm7a196900.1, Pm7a197000.1, Pm7a205200.1, Pm7a244800.1, Pm7b015900.1, Pm7b081800.1, Pm7b142200.1, Pm8a020800.1, Pm8a020900.1, Pm8a026000.1, Pm8a064200.1, Pm8a077700.1, Pm8a083200.1, Pm8a106000.1, Pm8a133500.1, Pm8a153000.1, Pm8b026700.1, Pm8b026800.1, Pm8b054800.1, Pm8b078000.1, Pm8b078100.1, Pm8b083400.1, Pm8b086200.1, Pm8b087900.1, Pm8b088000.1, Pm8b096500.1, Pm8b161900.1, Pm9a003500.1, Pm9a223700.1, Pm9b051400.1, Pm9b346500.1, Pm9b365900.1, Pm9b410600.1, Pm9b410800.2, Pm9b426700.1	XP_039776508.1, XP_039794538.1, XP_039832445.1
OG0000006	Pm1a082900.1, Pm1a100500.1, Pm1a112700.1, Pm1a159000.1, Pm1a165300.1, Pm1b169900.1, Pm1b180400.1, Pm1b203800.1, Pm1b208800.1, Pm1b287100.1, Pm1b297400.1, Pm2a240200.1, Pm2a323900.1, Pm2b000900.1, Pm2b063700.1, Pm2b242000.1, Pm2b282200.1, Pm2b319100.1, Pm2b325700.1, Pm2b348200.1, Pm2b381500.1, Pm2b405500.1, Pm3a072700.1, Pm3a074600.1, Pm3a088100.1, Pm3a104200.1, Pm3b225900.1, Pm3b268800.1, Pm3b282800.1, Pm3b284100.1, Pm3b289500.1, Pm3b292900.1, Pm3b354600.1, Pm3b363300.1, Pm3b385900.1, Pm4b115800.1, Pm4b115900.1, Pm4b147400.1, Pm4b174100.1, Pm4b222400.1, Pm5a039700.1, Pm5a259200.1, Pm5a313300.1, Pm5b157200.1, Pm5b162700.1, Pm5b176000.1, Pm5b180600.1, Pm6b052800.1, Pm6b068700.1, Pm6b068700.2, Pm6b141000.1, Pm6b162500.1, Pm6b207400.1, Pm7a194500.1, Pm7a200400.1, Pm7a215000.1, Pm7a262700.1, Pm7b022000.1, Pm7b049300.1, Pm7b077300.1, Pm7b102600.1, Pm7b113100.1, Pm7b116600.1, Pm7b116700.1, Pm7b119400.1, Pm7b164300.1, Pm7b249000.1, Pm8a136000.1, Pm8b022100.1, Pm8b023500.1, Pm8b043100.1, Pm8b046400.1, Pm8b047400.1, Pm8b055300.1, Pm8b075200.1, Pm8b102900.1, Pm8b112900.1, Pm8b141100.1, Pm8b161700.1, Pm9a227100.1, Pm9a235000.1, Pm9b151400.1, Pm9b168500.1, Pm9b173100.1, Pm9b223100.1, Pm9b226600.1, Pm9b233700.1, Pm9b235400.1, Pm9b254900.1, Pm9b265900.1, Pm9b300600.1, Pm9b332900.1, Pm9b348600.1, PmUn099000.1, PmUn108800.1	
OG0000007	Pm1b019800.1, Pm1b196700.1, Pm1b196700.2, Pm1b219400.1, Pm1b221900.1, Pm1b288500.1, Pm1b303100.1, Pm2b288200.1, Pm2b304400.1, Pm2b308900.1, Pm2b309000.1, Pm2b374800.1, Pm3a003500.1, Pm3a109600.1, Pm3a109700.1, Pm3a307100.1, Pm3b126500.1, Pm3b126600.1, Pm3b191500.1, Pm3b321700.1, Pm3b321800.1, Pm3b326300.1, Pm3b326300.2, Pm4a111700.1, Pm4b036900.1, Pm4b163000.1, Pm4b238300.1, Pm5a050900.1, Pm5a287500.1, Pm5a287500.2, Pm5b024400.1, Pm5b075300.1, Pm5b075500.1, Pm5b132600.1, Pm5b140500.1, Pm6a081600.1, Pm6a111200.1, Pm6a139500.1, Pm6b054900.1, Pm6b097200.1, Pm6b123000.1, Pm6b138500.1, Pm6b189700.1, Pm6b233900.1, Pm7a182300.1, Pm7a201400.1, Pm7b012100.1, Pm7b020400.1, Pm7b022100.1, Pm7b025900.1, Pm7b026200.1, Pm7b070500.1, Pm7b070600.1, Pm7b116400.1, Pm7b116500.1, Pm8a040600.1, Pm8a073300.1, Pm8b005400.1, Pm8b084100.1, Pm8b084200.1, Pm8b091500.1, Pm8b099200.1, Pm8b101900.1, Pm8b102500.1, Pm8b122400.1, Pm8b130000.1, Pm9a285900.1, Pm9a285900.2, Pm9a375700.1, Pm9a392600.1, Pm9a393000.1, Pm9a393200.1, Pm9a393200.2, Pm9a407100.1, Pm9a418900.1, Pm9a482000.1, Pm9b093600.1, Pm9b140700.1, Pm9b148400.1, Pm9b207800.1, Pm9b247100.1, Pm9b249300.1, Pm9b290700.1, Pm9b321900.1, Pm9b322000.1, Pm9b434800.1, Pm9b434900.1, Pm9b439600.1, Pm9b458800.1, PmUn013700.1, PmUn013800.1, PmUn051700.1, PmUn055400.1, PmUn101800.1	
OG0000008	Pm1b204100.1, Pm1b205200.1, Pm1b224900.1, Pm1b261900.1, Pm1b262000.1, Pm1b262100.1, Pm1b262200.1, Pm1b302800.1, Pm1b302900.1, Pm2b240400.1, Pm2b278900.1, Pm2b338600.1, Pm2b350300.1, Pm3a066200.1, Pm3a066300.1, Pm3a069200.1, Pm3a076100.1, Pm3a078000.1, Pm3a084900.1, Pm3a085000.1, Pm3a369400.1, Pm3b294500.1, Pm3b294700.1, Pm3b344000.1, Pm3b361400.1, Pm4a080400.1, Pm4a096700.1, Pm4a106200.1, Pm4a243900.1, Pm4b069900.1, Pm4b070000.1, Pm4b073500.1, Pm4b073600.1, Pm4b106900.1, Pm4b107000.1, Pm4b107100.1, Pm4b126400.1, Pm4b127800.1, Pm4b128800.1, Pm4b129000.1, Pm4b129100.1, Pm4b171200.1, Pm5a254500.1, Pm5a264100.1, Pm5a264200.1, Pm5b037200.1, Pm5b131300.1, Pm5b181600.1, Pm5b181700.1, Pm5b232400.1, Pm6a057100.1, Pm6a068300.1, Pm6a068400.1, Pm6a116500.1, Pm6b068400.1, Pm6b077900.1, Pm6b093900.1, Pm6b131000.1, Pm6b131100.1, Pm6b131200.1, Pm6b131300.1, Pm6b148300.1, Pm6b162900.1, Pm7b013300.1, Pm7b014900.1, Pm7b015000.1, Pm7b015100.1, Pm7b019900.1, Pm7b020000.1, Pm7b020100.1, Pm7b025600.1, Pm7b041400.1, Pm7b056100.1, Pm8a000800.1, Pm8a046100.1, Pm8b049400.1, Pm8b049500.1, Pm8b113600.1, Pm8b118700.1, Pm8b118800.1, Pm8b124300.1, Pm8b124400.1, Pm8b124500.1, Pm8b144300.1, Pm8b163800.1, Pm9a235700.1, Pm9b228600.1, Pm9b450600.1, Pm9b450700.1, PmUn082800.1, PmUn082900.1	
