Orthogroup	Juglans_mandshurica-Fagales-Juglandaceae-Juglans.prot	Juglans_microcarpa-Fagales-Juglandaceae-Juglans.prot	Juglans_regia-Fagales-Juglandaceae-Juglans-201609.prot	Juglans_regia-Fagales-Juglandaceae-Juglans-202005.prot	Juglans_sigillata-Fagales-Juglandaceae-Juglans.prot
OG0000000	GWHPBEUN004264, GWHPBEUN005317, GWHPBEUN006303, GWHPBEUN007948, GWHPBEUN013244, GWHPBEUN013284, GWHPBEUN014429, GWHPBEUN014430, GWHPBEUN016179, GWHPBEUN018162, GWHPBEUN023788, GWHPBEUN026932, GWHPBEUN029182, GWHPBEUN029501, GWHPBEUN032831, GWHPBEUN034106, GWHPBEUN036689, GWHPBEUN036690, GWHPBEUN038285, GWHPBEUN039824, GWHPBEUN042863, GWHPBEUN045690	Null	XP_018808488.1, XP_018810009.1, XP_018810469.1, XP_018810528.1, XP_018812126.1, XP_018815052.1, XP_018815127.1, XP_018818928.1, XP_018820401.1, XP_018821414.1, XP_018821498.1, XP_018821988.1, XP_018822522.1, XP_018823216.1, XP_018824535.1, XP_018824536.1, XP_018824537.1, XP_018824538.1, XP_018824539.1, XP_018824540.1, XP_018826559.1, XP_018826637.1, XP_018826727.1, XP_018827158.1, XP_018828987.1, XP_018829830.1, XP_018830286.1, XP_018830546.1, XP_018831679.1, XP_018832541.1, XP_018833502.1, XP_018833698.1, XP_018833814.1, XP_018833815.1, XP_018835922.1, XP_018835923.1, XP_018835929.1, XP_018835930.1, XP_018837070.1, XP_018837251.1, XP_018838390.1, XP_018838674.1, XP_018841664.1, XP_018843550.1, XP_018844395.1, XP_018844596.1, XP_018845329.1, XP_018845330.1, XP_018845427.1, XP_018845958.1, XP_018846904.1, XP_018850394.1, XP_018851898.1, XP_018851961.1, XP_018852646.1, XP_018852853.1, XP_018852973.1, XP_018853766.1, XP_018855380.1, XP_018855381.1, XP_018855401.1, XP_018855454.1, XP_018855659.1, XP_018855689.1, XP_018855989.1, XP_018856148.1, XP_018856586.1, XP_018856874.1	XP_018810009.2, XP_018815052.1, XP_018815127.1, XP_018815601.2, XP_018820401.2, XP_018821054.2, XP_018821414.1, XP_018821988.1, XP_018823216.1, XP_018824536.1, XP_018824537.1, XP_018824538.2, XP_018824540.2, XP_018826637.1, XP_018827555.2, XP_018830546.1, XP_018831679.2, XP_018832825.2, XP_018833502.1, XP_018833814.2, XP_018835922.2, XP_018844395.1, XP_018845427.2, XP_018852853.2, XP_018856874.2, XP_035539360.1, XP_035539381.1, XP_035539703.1, XP_035540001.1, XP_035540202.1, XP_035541485.1, XP_035541660.1, XP_035541673.1, XP_035541680.1, XP_035541696.1, XP_035542093.1, XP_035542140.1, XP_035542150.1, XP_035542396.1, XP_035542726.1, XP_035542925.1, XP_035543541.1, XP_035543634.1, XP_035543651.1, XP_035544028.1, XP_035544276.1, XP_035544277.1, XP_035544278.1, XP_035545015.1, XP_035545415.1, XP_035545445.1, XP_035546011.1, XP_035546012.1, XP_035546521.1, XP_035546529.1, XP_035546537.1, XP_035546562.1, XP_035546624.1, XP_035547267.1, XP_035547280.1, XP_035547352.1, XP_035547418.1, XP_035547427.1, XP_035547729.1, XP_035548752.1, XP_035550241.1, XP_035550242.1, XP_035550311.1, XP_035550312.1, XP_035550313.1, XP_035550680.1, XP_035551009.1, XP_035551010.1, XP_035551029.1, XP_035551137.1, XP_035551491.1, XP_035551496.1	OF02443-RA, OF05621-RA, OF18387-RA, OF20968-RA, OF26538-RA
OG0000001	Null	RXH67332.1, RXH67423.1, RXH67757.1, RXH68219.1, RXH68245.1, RXH68471.1, RXH68776.1, RXH68893.1, RXH68990.1, RXH69063.1, RXH69064.1, RXH70027.1, RXH70036.1, RXH70537.1, RXH70707.1, RXH70754.1, RXH70847.1, RXH71458.1, RXH71478.1, RXH71639.1, RXH71772.1, RXH71995.1, RXH72676.1, RXH73258.1, RXH73526.1, RXH73935.1, RXH73975.1, RXH74351.1, RXH74715.1, RXH75307.1, RXH75468.1, RXH75536.1, RXH75875.1, RXH76398.1, RXH76894.1, RXH77130.1, RXH77664.1, RXH78005.1, RXH78469.1, RXH78704.1, RXH78756.1, RXH78836.1, RXH78886.1, RXH78958.1, RXH78960.1, RXH78980.1, RXH79511.1, RXH80091.1, RXH80267.1, RXH80337.1, RXH81551.1, RXH82316.1, RXH82608.1, RXH82987.1, RXH83290.1, RXH83529.1, RXH83903.1, RXH84620.1, RXH85139.1, RXH85438.1, RXH85951.1, RXH86468.1, RXH86743.1, RXH86778.1, RXH86855.1, RXH87356.1, RXH87414.1, RXH87566.1, RXH87627.1, RXH87702.1, RXH87962.1, RXH88053.1, RXH88502.1, RXH89134.1, RXH89562.1, RXH89807.1, RXH89894.1, RXH89995.1, RXH90246.1, RXH90460.1, RXH90664.1, RXH91133.1, RXH91666.1, RXH91828.1, RXH91883.1, RXH91948.1, RXH92133.1, RXH92235.1, RXH92696.1, RXH93206.1, RXH93256.1, RXH93603.1, RXH93712.1, RXH93968.1, RXH94584.1, RXH94604.1, RXH94680.1, RXH94973.1, RXH95404.1, RXH95432.1, RXH95560.1, RXH95832.1, RXH95833.1, RXH96184.1, RXH96663.1, RXH96710.1, RXH97003.1, RXH97238.1, RXH97294.1, RXH97362.1, RXH97383.1, RXH98040.1, RXH98104.1, RXH98271.1, RXH98358.1, RXH99034.1, RXH99554.1, RXH99594.1, RXH99708.1, RXH99787.1, RXI00267.1, RXI01171.1, RXI01177.1, RXI01552.1, RXI02304.1, RXI02331.1, RXI02575.1, RXI03342.1, RXI03384.1, RXI03845.1, RXI03985.1, RXI04171.1, RXI04565.1, RXI04579.1, RXI04890.1, RXI04894.1, RXI04899.1, RXI05311.1, RXI05358.1, RXI05388.1, RXI05850.1, RXI06165.1, RXI06317.1, RXI06842.1, RXI07204.1, RXI07286.1, RXI07390.1, RXI07716.1, RXI07843.1, RXI07852.1, RXI08113.1, RXI08977.1, RXI09193.1, RXI09307.1, RXI09373.1, RXI09424.1, RXI09431.1, RXI09444.1, RXI09724.1	Null	Null	
OG0000002	Null	RXH67353.1, RXH67441.1, RXH67484.1, RXH68134.1, RXH68210.1, RXH68379.1, RXH68725.1, RXH69080.1, RXH69787.1, RXH70607.1, RXH70820.1, RXH70914.1, RXH70921.1, RXH70958.1, RXH70975.1, RXH71163.1, RXH71409.1, RXH71420.1, RXH71434.1, RXH71529.1, RXH71533.1, RXH72417.1, RXH73513.1, RXH73887.1, RXH73982.1, RXH75901.1, RXH76360.1, RXH76524.1, RXH76719.1, RXH76786.1, RXH77425.1, RXH77732.1, RXH78010.1, RXH78340.1, RXH78385.1, RXH78386.1, RXH78558.1, RXH78802.1, RXH79784.1, RXH80211.1, RXH80217.1, RXH80326.1, RXH80739.1, RXH80875.1, RXH81758.1, RXH81989.1, RXH82802.1, RXH82880.1, RXH82912.1, RXH83056.1, RXH83154.1, RXH83579.1, RXH84390.1, RXH84497.1, RXH84533.1, RXH84600.1, RXH84666.1, RXH84798.1, RXH85009.1, RXH85091.1, RXH85417.1, RXH85648.1, RXH86146.1, RXH86381.1, RXH86561.1, RXH87003.1, RXH87199.1, RXH87370.1, RXH87372.1, RXH87410.1, RXH87570.1, RXH87743.1, RXH87748.1, RXH87768.1, RXH87869.1, RXH87902.1, RXH88025.1, RXH88466.1, RXH88791.1, RXH89574.1, RXH90055.1, RXH90455.1, RXH90870.1, RXH91852.1, RXH91955.1, RXH91995.1, RXH92618.1, RXH92697.1, RXH92926.1, RXH93210.1, RXH93317.1, RXH94270.1, RXH94324.1, RXH94431.1, RXH94791.1, RXH97076.1, RXH97113.1, RXH97320.1, RXH98383.1, RXH98427.1, RXH98853.1, RXH99177.1, RXH99302.1, RXH99396.1, RXH99407.1, RXH99489.1, RXH99712.1, RXH99880.1, RXI00394.1, RXI00577.1, RXI00646.1, RXI01051.1, RXI01052.1, RXI01174.1, RXI01235.1, RXI01247.1, RXI01294.1, RXI01565.1, RXI02831.1, RXI03024.1, RXI03244.1, RXI03707.1, RXI03956.1, RXI04552.1, RXI04598.1, RXI04816.1, RXI04874.1, RXI04900.1, RXI05031.1, RXI05047.1, RXI05750.1, RXI06763.1, RXI06866.1, RXI06873.1, RXI07417.1, RXI07501.1, RXI07717.1, RXI07743.1, RXI07759.1, RXI07875.1, RXI08468.1, RXI09298.1, RXI10010.1	Null	Null	
OG0000003	GWHPBEUN001974, GWHPBEUN001985, GWHPBEUN002567, GWHPBEUN002646, GWHPBEUN003318, GWHPBEUN004167, GWHPBEUN004477, GWHPBEUN004692, GWHPBEUN005984, GWHPBEUN006306, GWHPBEUN006493, GWHPBEUN006516, GWHPBEUN006585, GWHPBEUN006590, GWHPBEUN006612, GWHPBEUN007380, GWHPBEUN007582, GWHPBEUN008073, GWHPBEUN008301, GWHPBEUN008408, GWHPBEUN008748, GWHPBEUN008759, GWHPBEUN008820, GWHPBEUN008821, GWHPBEUN009156, GWHPBEUN009346, GWHPBEUN010232, GWHPBEUN011674, GWHPBEUN011675, GWHPBEUN012330, GWHPBEUN013519, GWHPBEUN013783, GWHPBEUN014175, GWHPBEUN014481, GWHPBEUN016854, GWHPBEUN016955, GWHPBEUN017148, GWHPBEUN017215, GWHPBEUN017333, GWHPBEUN017352, GWHPBEUN017568, GWHPBEUN018406, GWHPBEUN018439, GWHPBEUN018784, GWHPBEUN019465, GWHPBEUN020217, GWHPBEUN020361, GWHPBEUN020375, GWHPBEUN020406, GWHPBEUN020578, GWHPBEUN020854, GWHPBEUN021960, GWHPBEUN022103, GWHPBEUN022230, GWHPBEUN022245, GWHPBEUN022249, GWHPBEUN022343, GWHPBEUN022386, GWHPBEUN022729, GWHPBEUN022822, GWHPBEUN022832, GWHPBEUN022851, GWHPBEUN022996, GWHPBEUN023055, GWHPBEUN023090, GWHPBEUN023237, GWHPBEUN023238, GWHPBEUN024108, GWHPBEUN025998, GWHPBEUN027039, GWHPBEUN027074, GWHPBEUN027191, GWHPBEUN027249, GWHPBEUN027292, GWHPBEUN028059, GWHPBEUN028068, GWHPBEUN028080, GWHPBEUN028425, GWHPBEUN028499, GWHPBEUN028553, GWHPBEUN028892, GWHPBEUN029029, GWHPBEUN030227, GWHPBEUN030358, GWHPBEUN030421, GWHPBEUN031007, GWHPBEUN031404, GWHPBEUN033241, GWHPBEUN034070, GWHPBEUN034258, GWHPBEUN034814, GWHPBEUN037352, GWHPBEUN038109, GWHPBEUN039163, GWHPBEUN039788, GWHPBEUN039869, GWHPBEUN039917, GWHPBEUN040005, GWHPBEUN040024, GWHPBEUN040076, GWHPBEUN040124, GWHPBEUN040136, GWHPBEUN040187, GWHPBEUN040277, GWHPBEUN040328, GWHPBEUN040350, GWHPBEUN040507, GWHPBEUN040656, GWHPBEUN040893, GWHPBEUN041328, GWHPBEUN041686, GWHPBEUN042000, GWHPBEUN042506, GWHPBEUN042567, GWHPBEUN042613, GWHPBEUN045297, GWHPBEUN046157, GWHPBEUN046161, GWHPBEUN046529, GWHPBEUN046562, GWHPBEUN046858, GWHPBEUN047763	Null	Null	Null	
OG0000004	GWHPBEUN003382, GWHPBEUN005898, GWHPBEUN006534, GWHPBEUN022960, GWHPBEUN043084	Null	Null	XP_035543706.1, XP_035544683.1	OF00111-RA, OF00363-RA, OF00406-RA, OF00449-RA, OF00492-RA, OF00504-RA, OF00516-RA, OF00557-RA, OF00839-RA, OF00840-RA, OF01849-RA, OF02067-RA, OF02258-RA, OF02275-RA, OF02278-RA, OF02320-RA, OF03336-RA, OF03848-RA, OF03974-RA, OF04248-RA, OF05510-RA, OF05683-RA, OF06017-RA, OF06922-RA, OF07116-RA, OF07198-RA, OF07926-RA, OF08284-RA, OF08423-RA, OF08672-RA, OF08727-RA, OF08875-RA, OF09685-RA, OF10089-RA, OF10284-RA, OF10328-RA, OF10358-RA, OF10603-RA, OF10813-RA, OF11863-RA, OF12075-RA, OF14546-RA, OF15239-RA, OF15261-RA, OF15832-RA, OF16230-RA, OF16294-RA, OF16366-RA, OF16630-RA, OF18056-RA, OF18183-RA, OF18270-RA, OF18341-RA, OF18485-RA, OF18627-RA, OF18727-RA, OF18758-RA, OF18961-RA, OF19134-RA, OF19220-RA, OF19481-RA, OF19639-RA, OF19645-RA, OF19671-RA, OF19688-RA, OF19767-RA, OF19775-RA, OF19785-RA, OF19979-RA, OF20353-RA, OF20651-RA, OF20956-RA, OF21000-RA, OF21004-RA, OF21064-RA, OF21336-RA, OF21347-RA, OF21448-RA, OF21671-RA, OF22730-RA, OF22857-RA, OF23891-RA, OF23931-RA, OF23953-RA, OF23959-RA, OF24036-RA, OF24128-RA, OF25334-RA, OF25547-RA, OF25564-RA, OF25703-RA, OF25707-RA, OF26069-RA, OF26110-RA, OF26487-RA, OF26583-RA, OF26796-RA, OF26877-RA, OF27284-RA, OF27330-RA, OF27435-RA, OF27485-RA, OF28605-RA, OF28625-RA, OF28741-RA, OF28780-RA, OF28795-RA, OF28878-RA, OF29050-RA, OF29051-RA, OF29112-RA, OF29236-RA, OF29622-RA, OF29736-RA, OF30042-RA
OG0000005	GWHPBEUN002714, GWHPBEUN011632, GWHPBEUN014501, GWHPBEUN017692, GWHPBEUN020136, GWHPBEUN020297, GWHPBEUN020934, GWHPBEUN022370, GWHPBEUN023478, GWHPBEUN027436, GWHPBEUN030579, GWHPBEUN030841, GWHPBEUN039899, GWHPBEUN040465	RXH92954.1, RXH94958.1	XP_018805260.1, XP_018807567.1, XP_018808630.1, XP_018810679.1, XP_018811078.1, XP_018811195.1, XP_018811316.1, XP_018813033.1, XP_018815051.1, XP_018815124.1, XP_018815663.1, XP_018818291.1, XP_018818842.1, XP_018819491.1, XP_018819856.1, XP_018820610.1, XP_018821506.1, XP_018822505.1, XP_018824128.1, XP_018826301.1, XP_018830115.1, XP_018832222.1, XP_018832224.1, XP_018832556.1, XP_018832574.1, XP_018832847.1, XP_018837026.1, XP_018839701.1, XP_018844582.1, XP_018851570.1, XP_018858049.1, XP_018859600.1	XP_018805260.2, XP_018808630.2, XP_018810679.2, XP_018811195.1, XP_018811316.1, XP_018813033.1, XP_018815051.2, XP_018815124.2, XP_018818291.2, XP_018819856.1, XP_018820610.2, XP_018821506.1, XP_018822505.1, XP_018824128.2, XP_018830115.2, XP_018832222.1, XP_018832574.2, XP_018832847.1, XP_018844582.1, XP_018851570.1, XP_035540282.1, XP_035541668.1, XP_035543587.1, XP_035544562.1, XP_035551024.1, XP_035551132.1	OF00090-RA, OF00300-RA, OF00803-RA, OF01123-RA, OF01959-RA, OF03018-RA, OF03092-RA, OF03258-RA, OF03386-RA, OF03485-RA, OF03611-RA, OF03879-RA, OF04198-RA, OF04200-RA, OF10405-RA, OF10722-RA, OF11788-RA, OF11881-RA, OF11896-RA, OF12364-RA, OF15244-RA, OF16696-RA, OF16853-RA, OF21499-RA, OF21530-RA, OF21570-RA, OF23858-RA, OF24852-RA, OF25943-RA, OF26031-RA, OF26793-RA, OF27406-RA, OF28648-RA, OF28778-RA, OF29594-RA, OF29795-RA
OG0000006	Null	RXH67712.1, RXH67990.1, RXH68616.1, RXH69106.1, RXH69141.1, RXH70480.1, RXH70498.1, RXH70948.1, RXH71075.1, RXH71086.1, RXH71738.1, RXH72611.1, RXH73602.1, RXH73689.1, RXH74022.1, RXH74474.1, RXH74500.1, RXH74548.1, RXH75345.1, RXH77049.1, RXH77658.1, RXH78430.1, RXH78761.1, RXH78779.1, RXH78908.1, RXH78936.1, RXH78961.1, RXH78975.1, RXH79292.1, RXH80818.1, RXH80974.1, RXH81248.1, RXH81326.1, RXH82342.1, RXH82435.1, RXH82889.1, RXH83171.1, RXH83968.1, RXH84535.1, RXH84790.1, RXH84811.1, RXH85080.1, RXH85140.1, RXH85503.1, RXH85535.1, RXH85559.1, RXH86667.1, RXH86727.1, RXH86887.1, RXH87358.1, RXH87477.1, RXH87586.1, RXH87961.1, RXH88195.1, RXH88235.1, RXH88492.1, RXH89079.1, RXH89181.1, RXH89348.1, RXH89386.1, RXH90459.1, RXH90521.1, RXH90526.1, RXH90657.1, RXH92300.1, RXH92682.1, RXH93507.1, RXH93683.1, RXH95286.1, RXH96237.1, RXH96239.1, RXH97032.1, RXH97033.1, RXH97299.1, RXH98124.1, RXH98861.1, RXH98945.1, RXI00365.1, RXI00727.1, RXI01080.1, RXI01350.1, RXI01386.1, RXI02305.1, RXI02493.1, RXI02749.1, RXI03053.1, RXI04582.1, RXI04674.1, RXI04684.1, RXI05792.1, RXI05939.1, RXI06451.1, RXI06514.1, RXI06518.1, RXI06670.1, RXI06699.1, RXI06774.1, RXI06993.1, RXI07381.1, RXI07838.1, RXI08263.1, RXI08484.1, RXI09212.1, RXI09213.1, RXI09288.1, RXI09427.1, RXI09433.1, RXI09469.1, RXI09847.1, RXI09883.1	Null	Null	
OG0000007	GWHPBEUN011469, GWHPBEUN011873, GWHPBEUN018164, GWHPBEUN029123, GWHPBEUN029124, GWHPBEUN030383, GWHPBEUN030533, GWHPBEUN033570, GWHPBEUN037926, GWHPBEUN040135, GWHPBEUN040821, GWHPBEUN042403, GWHPBEUN046395	RXH93302.1, RXI09488.1	XP_018805643.1, XP_018807712.1, XP_018807906.1, XP_018808642.1, XP_018808769.1, XP_018810882.1, XP_018811112.1, XP_018811113.1, XP_018811626.1, XP_018813083.1, XP_018814621.1, XP_018815709.1, XP_018819631.1, XP_018819753.1, XP_018822655.1, XP_018822895.1, XP_018823227.1, XP_018824496.1, XP_018825534.1, XP_018828937.1, XP_018830478.1, XP_018831748.1, XP_018831820.1, XP_018831863.1, XP_018833389.1, XP_018837071.1, XP_018838394.1, XP_018839254.1, XP_018843180.1, XP_018848244.1, XP_018848551.1, XP_018852670.1, XP_018853423.1, XP_018854250.1, XP_018854336.1, XP_018854338.1, XP_018854347.1, XP_018854891.1, XP_018856884.1, XP_018856899.1, XP_018858365.1, XP_018859066.1	XP_018807712.1, XP_018807906.1, XP_018808769.1, XP_018810882.1, XP_018811112.1, XP_018813083.1, XP_018814621.1, XP_018815709.1, XP_018819631.1, XP_018819753.1, XP_018822655.1, XP_018823227.2, XP_018831748.1, XP_018833389.2, XP_018837071.1, XP_018838394.2, XP_018839254.1, XP_018848244.1, XP_018848551.2, XP_018853423.1, XP_018856884.1, XP_018859066.1, XP_035539690.1, XP_035540239.1, XP_035541661.1, XP_035541952.1, XP_035542096.1, XP_035542940.1, XP_035543590.1, XP_035545948.1, XP_035546535.1, XP_035546567.1, XP_035546584.1, XP_035546599.1, XP_035548691.1, XP_035548701.1, XP_035549691.1, XP_035549718.1, XP_035551050.1, XP_035551052.1, XP_035551101.1, XP_035551105.1, XP_035551691.1, XP_035551733.1	OF00605-RA, OF04274-RA, OF19996-RA, OF21825-RA, OF26063-RA, OF29865-RA
OG0000008	Null	RXH67284.1, RXH67298.1, RXH67577.1, RXH68325.1, RXH70049.1, RXH70118.1, RXH70776.1, RXH70863.1, RXH71611.1, RXH72593.1, RXH73735.1, RXH73769.1, RXH73818.1, RXH73916.1, RXH74080.1, RXH74468.1, RXH75768.1, RXH75775.1, RXH75814.1, RXH76276.1, RXH76312.1, RXH76609.1, RXH76685.1, RXH77850.1, RXH78531.1, RXH79881.1, RXH80396.1, RXH80688.1, RXH80868.1, RXH81064.1, RXH81335.1, RXH81450.1, RXH81914.1, RXH82650.1, RXH82791.1, RXH83139.1, RXH83161.1, RXH83280.1, RXH83286.1, RXH83410.1, RXH84071.1, RXH84513.1, RXH84809.1, RXH85393.1, RXH85473.1, RXH85531.1, RXH85627.1, RXH86387.1, RXH86388.1, RXH86888.1, RXH87147.1, RXH87201.1, RXH87359.1, RXH87362.1, RXH87654.1, RXH88529.1, RXH88547.1, RXH88843.1, RXH90081.1, RXH90335.1, RXH90648.1, RXH90843.1, RXH91051.1, RXH91240.1, RXH91521.1, RXH92077.1, RXH92088.1, RXH92319.1, RXH92971.1, RXH93287.1, RXH94027.1, RXH94560.1, RXH95827.1, RXH96083.1, RXH96416.1, RXH97109.1, RXH97341.1, RXH97576.1, RXH97765.1, RXH98418.1, RXH98474.1, RXH98526.1, RXH98642.1, RXH98754.1, RXH99962.1, RXI00034.1, RXI00167.1, RXI00188.1, RXI00680.1, RXI01175.1, RXI01233.1, RXI03037.1, RXI03142.1, RXI06294.1, RXI06735.1, RXI06797.1, RXI06806.1, RXI07031.1, RXI07298.1, RXI07957.1, RXI08653.1, RXI08906.1, RXI09286.1, RXI09453.1, RXI09897.1	Null	Null	
