Orthogroup	Volvox_africanus-Chlamydomonadales-Volvocaceae-Volvox.prot	Volvox_reticuliferus-Chlamydomonadales-Volvocaceae-Volvox-1.prot	Volvox_reticuliferus-Chlamydomonadales-Volvocaceae-Volvox-2.prot
OG0000000	GIL42128.1, GIL42129.1, GIL44333.1, GIL45206.1, GIL45209.1, GIL45210.1, GIL45535.1, GIL45536.1, GIL45927.1, GIL46079.1, GIL46092.1, GIL46314.1, GIL46315.1, GIL46320.1, GIL46500.1, GIL47387.1, GIL48976.1, GIL49004.1, GIL49042.1, GIL49054.1, GIL49121.1, GIL49130.1, GIL49145.1, GIL49168.1, GIL49616.1, GIL50478.1, GIL50940.1, GIL51401.1, GIL51624.1, GIL51630.1, GIL51641.1, GIL51642.1, GIL51645.1, GIL51651.1, GIL51655.1, GIL51927.1, GIL51945.1, GIL52309.1, GIL52783.1, GIL53260.1, GIL54190.1, GIL54826.1, GIL54827.1, GIL55990.1, GIL55993.1, GIL55997.1, GIL56265.1, GIL56499.1, GIL56556.1, GIL56924.1, GIL57111.1, GIL57507.1, GIL58192.1, GIL58317.1, GIL58318.1, GIL59431.1, GIL59441.1, GIL59761.1, GIL59856.1, GIL59886.1, GIL59891.1, GIL59898.1, GIL60013.1, GIL60229.1, GIL61616.1, GIL61697.1, GIL61698.1, GIL61705.1, GIL61707.1, GIL61804.1, GIL61825.1, GIL62197.1, GIL63188.1, GIL63352.1, GIL63542.1, GIL64234.1, GIL65616.1, GIL65724.1, GIL65729.1, GIL66235.1, GIL66748.1, GIL66749.1, GIL66840.1, GIL66862.1, GIL67116.1, GIL67129.1, GIL67131.1, GIL67134.1, GIL67473.1, GIL67484.1, GIL67846.1, GIL67848.1, GIL68213.1, GIL68329.1, GIL68368.1, GIL68741.1, GIL68764.1, GIL68885.1, GIL68918.1, GIL68941.1, GIL69007.1	Null	GIL82238.1
OG0000001	GIL42555.1, GIL42570.1, GIL42571.1, GIL42572.1, GIL46318.1, GIL49006.1, GIL49114.1, GIL49117.1, GIL49474.1, GIL49615.1, GIL49650.1, GIL49651.1, GIL49652.1, GIL50933.1, GIL51615.1, GIL51616.1, GIL51936.1, GIL52996.1, GIL52999.1, GIL54184.1, GIL54185.1, GIL54223.1, GIL54832.1, GIL54833.1, GIL54897.1, GIL55998.1, GIL56058.1, GIL56416.1, GIL56595.1, GIL56765.1, GIL57121.1, GIL57122.1, GIL57391.1, GIL57392.1, GIL58332.1, GIL58333.1, GIL58338.1, GIL59751.1, GIL59769.1, GIL59770.1, GIL59982.1, GIL60231.1, GIL60735.1, GIL60737.1, GIL61066.1, GIL61420.1, GIL61421.1, GIL61519.1, GIL61521.1, GIL61671.1, GIL61672.1, GIL61704.1, GIL62471.1, GIL62650.1, GIL62652.1, GIL62653.1, GIL63304.1, GIL63305.1, GIL63440.1, GIL63445.1, GIL63446.1, GIL63554.1, GIL63556.1, GIL64040.1, GIL64041.1, GIL65723.1, GIL65725.1, GIL65728.1, GIL66393.1, GIL66395.1, GIL68103.1, GIL68340.1, GIL68341.1, GIL68342.1, GIL68366.1, GIL68729.1, GIL68730.1, GIL68761.1, GIL68844.1, GIL68851.1, GIL68870.1, GIL68905.1, GIL68906.1, GIL68911.1, GIL68937.1, GIL68957.1, GIL68959.1, GIL68971.1	Null	
OG0000002	GIL52554.1, GIL56186.1, GIL56187.1, GIL56188.1, GIL56189.1, GIL56190.1, GIL56191.1, GIL56192.1, GIL56193.1, GIL56194.1, GIL56195.1, GIL56196.1, GIL60992.1, GIL65734.1, GIL65748.1, GIL65749.1, GIL65750.1, GIL65751.1, GIL65752.1, GIL65753.1, GIL65754.1, GIL65755.1, GIL65758.1	GIM04644.1, GIM04645.1, GIM04646.1, GIM04647.1, GIM04648.1, GIM04649.1, GIM04650.1, GIM04651.1, GIM04652.1, GIM04662.1, GIM04663.1, GIM04664.1, GIM04665.1, GIM04666.1, GIM10202.1, GIM10280.1, GIM10334.1, GIM10335.1, GIM10336.1, GIM10337.1, GIM10338.1, GIM10341.1, GIM10343.1, GIM10344.1, GIM10345.1, GIM10346.1, GIM10347.1, GIM10348.1, GIM10353.1	GIL80679.1, GIL80680.1, GIL80681.1, GIL80682.1, GIL80683.1, GIL80684.1, GIL80685.1, GIL80686.1, GIL80687.1, GIL80695.1, GIL80696.1, GIL80697.1, GIL80698.1, GIL80700.1, GIL88151.1, GIL88185.1, GIL88186.1, GIL88187.1, GIL88188.1, GIL88189.1, GIL88190.1, GIL88191.1, GIL88192.1, GIL88193.1, GIL88194.1, GIL88195.1, GIL88196.1, GIL88197.1, GIL88198.1, GIL88199.1, GIL88201.1, GIL88202.1, GIL88203.1, GIL88210.1, GIL88211.1
OG0000003	GIL42127.1, GIL45925.1, GIL46317.1, GIL48975.1, GIL49015.1, GIL49041.1, GIL49146.1, GIL49617.1, GIL51614.1, GIL51626.1, GIL51629.1, GIL51644.1, GIL51657.1, GIL52199.1, GIL53644.1, GIL53657.1, GIL54183.1, GIL54224.1, GIL54787.1, GIL54830.1, GIL54896.1, GIL56417.1, GIL56766.1, GIL57119.1, GIL57375.1, GIL57393.1, GIL57503.1, GIL57504.1, GIL57505.1, GIL59432.1, GIL59442.1, GIL59759.1, GIL59857.1, GIL59858.1, GIL60636.1, GIL60637.1, GIL61067.1, GIL61422.1, GIL61550.1, GIL61669.1, GIL61695.1, GIL61700.1, GIL61703.1, GIL62469.1, GIL63189.1, GIL63354.1, GIL63439.1, GIL63443.1, GIL63538.1, GIL63539.1, GIL63540.1, GIL63557.1, GIL64182.1, GIL65615.1, GIL65617.1, GIL66236.1, GIL66529.1, GIL66746.1, GIL66747.1, GIL66751.1, GIL67008.1, GIL67083.1, GIL67133.1, GIL67467.1, GIL67468.1, GIL68101.1, GIL68731.1, GIL68745.1, GIL68763.1, GIL68940.1, GIL68958.1, GIL68972.1, GIL69005.1	GIM00361.1, GIM08843.1	
OG0000004	GIL42126.1, GIL42527.1, GIL45207.1, GIL46075.1, GIL49081.1, GIL49116.1, GIL49119.1, GIL49147.1, GIL49167.1, GIL50476.1, GIL51627.1, GIL51628.1, GIL51633.1, GIL51925.1, GIL52307.1, GIL52314.1, GIL53719.1, GIL54186.1, GIL54801.1, GIL55991.1, GIL56870.1, GIL56922.1, GIL56963.1, GIL56999.1, GIL58316.1, GIL59895.1, GIL61064.1, GIL61615.1, GIL61633.1, GIL61694.1, GIL62276.1, GIL63438.1, GIL63558.1, GIL64368.1, GIL64876.1, GIL65618.1, GIL65730.1, GIL66388.1, GIL66563.1, GIL66667.1, GIL67132.1, GIL68207.1, GIL68330.1, GIL68347.1, GIL68369.1, GIL68742.1, GIL68835.1, GIL68923.1, GIL68938.1, GIL68973.1	GIL99882.1, GIM02151.1, GIM07330.1, GIM15155.1	GIL73611.1, GIL74478.1, GIL80341.1, GIL82628.1, GIL84549.1, GIL89890.1, GIL91110.1, GIL92343.1
OG0000005	GIL42000.1, GIL45537.1, GIL45926.1, GIL46091.1, GIL48922.1, GIL49003.1, GIL49052.1, GIL49056.1, GIL49129.1, GIL50941.1, GIL51638.1, GIL51646.1, GIL51658.1, GIL53643.1, GIL53663.1, GIL54471.1, GIL54536.1, GIL54785.1, GIL54806.1, GIL54825.1, GIL54828.1, GIL56268.1, GIL56554.1, GIL56921.1, GIL57001.1, GIL57508.1, GIL58186.1, GIL59540.1, GIL59750.1, GIL60012.1, GIL60999.1, GIL61192.1, GIL61611.1, GIL61645.1, GIL61646.1, GIL61648.1, GIL63543.1, GIL64184.1, GIL64233.1, GIL64366.1, GIL64374.1, GIL64871.1, GIL66233.1, GIL66337.1, GIL66693.1, GIL66750.1, GIL67210.1, GIL67526.1, GIL67847.1, GIL68920.1, GIL68939.1	Null	
OG0000006	GIL45205.1, GIL45208.1, GIL50934.1, GIL51625.1, GIL51924.1, GIL52308.1, GIL54191.1, GIL54786.1, GIL54831.1, GIL56500.1, GIL56763.1, GIL56866.1, GIL56871.1, GIL56965.1, GIL57120.1, GIL58187.1, GIL58188.1, GIL59887.1, GIL59892.1, GIL60261.1, GIL61065.1, GIL61228.1, GIL61518.1, GIL61670.1, GIL61696.1, GIL62470.1, GIL63306.1, GIL63353.1, GIL63444.1, GIL64622.1, GIL65614.1, GIL65726.1, GIL66336.1, GIL66533.1, GIL66556.1, GIL66863.1, GIL67191.1, GIL68102.1, GIL68765.1, GIL68843.1, GIL68852.1, GIL69006.1	GIM02257.1	
OG0000007	GIL58783.1, GIL58784.1, GIL58787.1, GIL58788.1, GIL58789.1, GIL58790.1	GIM09394.1, GIM09395.1, GIM09396.1, GIM09397.1, GIM09400.1, GIM09401.1, GIM09402.1, GIM09403.1, GIM09404.1, GIM09405.1, GIM09407.1	GIL85640.1, GIL85641.1, GIL85642.1, GIL85643.1, GIL85644.1, GIL85646.1, GIL85647.1, GIL85649.1, GIL85651.1, GIL85652.1, GIL85653.1, GIL85654.1, GIL85655.1, GIL85656.1, GIL85657.1, GIL85658.1, GIL85659.1, GIL85660.1, GIL85661.1, GIL85662.1, GIL85663.1, GIL85664.1, GIL85666.1
OG0000008	GIL52212.1, GIL60225.1, GIL60226.1, GIL61818.1, GIL61819.1, GIL61820.1, GIL64236.1, GIL64237.1	GIM13955.1, GIM13956.1, GIM13958.1, GIM13959.1, GIM13960.1, GIM13961.1, GIM13962.1, GIM13963.1, GIM13964.1, GIM13965.1, GIM13966.1, GIM14898.1, GIM14899.1	GIL78426.1, GIL78427.1, GIL78428.1, GIL78429.1, GIL78436.1, GIL78437.1, GIL78438.1, GIL78439.1, GIL78440.1, GIL78441.1, GIL78442.1, GIL78443.1, GIL78444.1, GIL78446.1, GIL78447.1, GIL78449.1, GIL78454.1
