Orthogroup	Vicia_faba-Fabales-Fabaceae-Vicia-1.prot	Vicia_faba-Fabales-Fabaceae-Vicia-2.prot
OG0000000	Vfaba.Tiffany.R1.1g045320.1, Vfaba.Tiffany.R1.1g165720.1, Vfaba.Tiffany.R1.1g165800.1, Vfaba.Tiffany.R1.1g165840.1, Vfaba.Tiffany.R1.1g165920.1, Vfaba.Tiffany.R1.1g380560.1, Vfaba.Tiffany.R1.1g380600.1, Vfaba.Tiffany.R1.1g380640.1, Vfaba.Tiffany.R1.1g380680.1, Vfaba.Tiffany.R1.1g380760.1, Vfaba.Tiffany.R1.1g380800.1, Vfaba.Tiffany.R1.1g380840.1, Vfaba.Tiffany.R1.2g033000.1, Vfaba.Tiffany.R1.2g036040.1, Vfaba.Tiffany.R1.2g112600.1, Vfaba.Tiffany.R1.2g112640.1, Vfaba.Tiffany.R1.2g112680.1, Vfaba.Tiffany.R1.2g112720.1, Vfaba.Tiffany.R1.2g112760.1, Vfaba.Tiffany.R1.2g112800.1, Vfaba.Tiffany.R1.2g112840.1, Vfaba.Tiffany.R1.2g114080.1, Vfaba.Tiffany.R1.5g033720.1, Vfaba.Tiffany.R1.6g022840.1, Vfaba.Tiffany.R1.6g026080.1, Vfaba.Tiffany.R1.6g026120.1, Vfaba.Tiffany.R1.6g026160.1, Vfaba.Tiffany.R1.6g026320.1, Vfaba.Tiffany.R1.6g026360.1, Vfaba.Tiffany.R1.6g026400.1, Vfaba.Tiffany.R1.6g026440.1, Vfaba.Tiffany.R1.6g026480.1, Vfaba.Tiffany.R1.6g026520.1, Vfaba.Tiffany.R1.6g027960.1	Vfaba.Hedin2.R1.1g211880.1, Vfaba.Hedin2.R1.1g212040.1, Vfaba.Hedin2.R1.1g212080.1, Vfaba.Hedin2.R1.1g212160.1, Vfaba.Hedin2.R1.1g465040.1, Vfaba.Hedin2.R1.2g044000.1, Vfaba.Hedin2.R1.2g140440.1, Vfaba.Hedin2.R1.2g140520.1, Vfaba.Hedin2.R1.2g140560.1, Vfaba.Hedin2.R1.2g140600.1, Vfaba.Hedin2.R1.2g140640.1, Vfaba.Hedin2.R1.2g142080.1, Vfaba.Hedin2.R1.5g040400.1, Vfaba.Hedin2.R1.6g029080.1, Vfaba.Hedin2.R1.6g033680.1, Vfaba.Hedin2.R1.6g033720.1, Vfaba.Hedin2.R1.6g033760.1, Vfaba.Hedin2.R1.6g033960.1, Vfaba.Hedin2.R1.6g034040.1, Vfaba.Hedin2.R1.6g034080.1, Vfaba.Hedin2.R1.6g034120.1, Vfaba.Hedin2.R1.6g034200.1, Vfaba.Hedin2.R1.6g034240.1, Vfaba.Hedin2.R1.6g034280.1, Vfaba.Hedin2.R1.6g035920.1, Vfaba.Hedin2.R1.Ung071080.1, Vfaba.Hedin2.R1.Ung071160.1, Vfaba.Hedin2.R1.Ung094040.1
OG0000001	Vfaba.Tiffany.R1.1g116520.1, Vfaba.Tiffany.R1.1g272160.1, Vfaba.Tiffany.R1.1g272600.1, Vfaba.Tiffany.R1.1g272640.1, Vfaba.Tiffany.R1.1g352400.1, Vfaba.Tiffany.R1.1g352440.1, Vfaba.Tiffany.R1.1g352480.1, Vfaba.Tiffany.R1.2g086560.1, Vfaba.Tiffany.R1.2g180360.1, Vfaba.Tiffany.R1.2g180400.1, Vfaba.Tiffany.R1.2g180480.1, Vfaba.Tiffany.R1.2g180520.1, Vfaba.Tiffany.R1.2g180600.1, Vfaba.Tiffany.R1.2g180640.1, Vfaba.Tiffany.R1.2g180680.1, Vfaba.Tiffany.R1.2g180800.1, Vfaba.Tiffany.R1.2g180840.1, Vfaba.Tiffany.R1.3g010400.1, Vfaba.Tiffany.R1.3g023960.1, Vfaba.Tiffany.R1.3g191800.1, Vfaba.Tiffany.R1.4g100760.1, Vfaba.Tiffany.R1.5g107520.1, Vfaba.Tiffany.R1.6g002720.1, Vfaba.Tiffany.R1.6g073720.1, Vfaba.Tiffany.R1.6g117000.1, Vfaba.Tiffany.R1.Ung035440.1, Vfaba.Tiffany.R1.Ung035480.1	Vfaba.Hedin2.R1.1g013240.1, Vfaba.Hedin2.R1.1g013280.1, Vfaba.Hedin2.R1.1g013360.1, Vfaba.Hedin2.R1.1g013480.1, Vfaba.Hedin2.R1.1g151240.1, Vfaba.Hedin2.R1.1g336080.1, Vfaba.Hedin2.R1.1g336440.1, Vfaba.Hedin2.R1.1g336520.1, Vfaba.Hedin2.R1.1g430200.1, Vfaba.Hedin2.R1.1g430240.1, Vfaba.Hedin2.R1.1g430280.1, Vfaba.Hedin2.R1.2g052520.1, Vfaba.Hedin2.R1.2g105000.1, Vfaba.Hedin2.R1.2g224840.1, Vfaba.Hedin2.R1.2g224920.1, Vfaba.Hedin2.R1.2g225080.1, Vfaba.Hedin2.R1.2g225120.1, Vfaba.Hedin2.R1.2g225280.1, Vfaba.Hedin2.R1.2g225360.1, Vfaba.Hedin2.R1.2g225400.1, Vfaba.Hedin2.R1.2g225560.1, Vfaba.Hedin2.R1.2g225600.1, Vfaba.Hedin2.R1.3g015960.1, Vfaba.Hedin2.R1.3g235480.1, Vfaba.Hedin2.R1.4g130520.1, Vfaba.Hedin2.R1.5g057320.1, Vfaba.Hedin2.R1.5g133760.1, Vfaba.Hedin2.R1.6g003800.1, Vfaba.Hedin2.R1.6g115880.1, Vfaba.Hedin2.R1.6g115920.1, Vfaba.Hedin2.R1.6g115960.1, Vfaba.Hedin2.R1.6g116080.1, Vfaba.Hedin2.R1.6g116120.1, Vfaba.Hedin2.R1.6g116600.1, Vfaba.Hedin2.R1.6g152520.1
OG0000002	Vfaba.Tiffany.R1.1g067760.1, Vfaba.Tiffany.R1.1g086400.1, Vfaba.Tiffany.R1.1g128040.2, Vfaba.Tiffany.R1.1g128160.1, Vfaba.Tiffany.R1.1g128280.1, Vfaba.Tiffany.R1.1g128360.1, Vfaba.Tiffany.R1.1g129760.1, Vfaba.Tiffany.R1.1g132080.1, Vfaba.Tiffany.R1.1g266560.1, Vfaba.Tiffany.R1.1g266560.2, Vfaba.Tiffany.R1.1g266600.1, Vfaba.Tiffany.R1.1g266640.1, Vfaba.Tiffany.R1.1g266720.1, Vfaba.Tiffany.R1.1g266760.1, Vfaba.Tiffany.R1.1g266800.1, Vfaba.Tiffany.R1.1g266880.1, Vfaba.Tiffany.R1.1g266920.1, Vfaba.Tiffany.R1.1g266960.1, Vfaba.Tiffany.R1.1g267000.1, Vfaba.Tiffany.R1.1g267040.1, Vfaba.Tiffany.R1.1g267080.1, Vfaba.Tiffany.R1.1g267120.1, Vfaba.Tiffany.R1.3g168360.1, Vfaba.Tiffany.R1.6g115880.1, Vfaba.Tiffany.R1.Ung041880.1	Vfaba.Hedin2.R1.1g090800.1, Vfaba.Hedin2.R1.1g092280.1, Vfaba.Hedin2.R1.1g092400.1, Vfaba.Hedin2.R1.1g092520.1, Vfaba.Hedin2.R1.1g115640.1, Vfaba.Hedin2.R1.1g165880.1, Vfaba.Hedin2.R1.1g168120.2, Vfaba.Hedin2.R1.1g168240.1, Vfaba.Hedin2.R1.1g168400.1, Vfaba.Hedin2.R1.1g168480.1, Vfaba.Hedin2.R1.1g170000.1, Vfaba.Hedin2.R1.1g172640.1, Vfaba.Hedin2.R1.1g328840.1, Vfaba.Hedin2.R1.1g328920.1, Vfaba.Hedin2.R1.1g328960.1, Vfaba.Hedin2.R1.1g329000.1, Vfaba.Hedin2.R1.1g329040.1, Vfaba.Hedin2.R1.1g329080.1, Vfaba.Hedin2.R1.1g329120.1, Vfaba.Hedin2.R1.1g329160.1, Vfaba.Hedin2.R1.3g081520.1, Vfaba.Hedin2.R1.3g203760.1, Vfaba.Hedin2.R1.6g151320.1
OG0000003	Vfaba.Tiffany.R1.1g055480.1, Vfaba.Tiffany.R1.1g084480.1, Vfaba.Tiffany.R1.1g091640.1, Vfaba.Tiffany.R1.1g121960.1, Vfaba.Tiffany.R1.1g159200.1, Vfaba.Tiffany.R1.1g183280.1, Vfaba.Tiffany.R1.1g203480.1, Vfaba.Tiffany.R1.1g248000.1, Vfaba.Tiffany.R1.1g265040.1, Vfaba.Tiffany.R1.1g270120.1, Vfaba.Tiffany.R1.2g031680.1, Vfaba.Tiffany.R1.2g032240.1, Vfaba.Tiffany.R1.2g046480.1, Vfaba.Tiffany.R1.2g054120.1, Vfaba.Tiffany.R1.2g055640.1, Vfaba.Tiffany.R1.2g095600.1, Vfaba.Tiffany.R1.2g121480.1, Vfaba.Tiffany.R1.2g140760.1, Vfaba.Tiffany.R1.2g162120.1, Vfaba.Tiffany.R1.2g167280.1, Vfaba.Tiffany.R1.2g202720.1, Vfaba.Tiffany.R1.2g209400.1, Vfaba.Tiffany.R1.3g005360.1, Vfaba.Tiffany.R1.3g061520.1, Vfaba.Tiffany.R1.3g105640.1, Vfaba.Tiffany.R1.3g117400.1, Vfaba.Tiffany.R1.3g120200.1, Vfaba.Tiffany.R1.3g131840.1, Vfaba.Tiffany.R1.3g136840.1, Vfaba.Tiffany.R1.3g162440.1, Vfaba.Tiffany.R1.3g193080.1, Vfaba.Tiffany.R1.4g013320.1, Vfaba.Tiffany.R1.4g056520.1, Vfaba.Tiffany.R1.4g111320.1, Vfaba.Tiffany.R1.4g128880.1, Vfaba.Tiffany.R1.5g050640.1, Vfaba.Tiffany.R1.5g088160.1, Vfaba.Tiffany.R1.5g105280.1, Vfaba.Tiffany.R1.5g120360.1, Vfaba.Tiffany.R1.5g120400.1, Vfaba.Tiffany.R1.5g151640.1, Vfaba.Tiffany.R1.6g135400.1, Vfaba.Tiffany.R1.6g148920.1, Vfaba.Tiffany.R1.Ung023720.1, Vfaba.Tiffany.R1.Ung028800.1	
OG0000004	Vfaba.Tiffany.R1.1g080200.1, Vfaba.Tiffany.R1.1g165560.1, Vfaba.Tiffany.R1.1g165640.1, Vfaba.Tiffany.R1.1g165680.1, Vfaba.Tiffany.R1.1g165760.1, Vfaba.Tiffany.R1.1g165880.1, Vfaba.Tiffany.R1.1g165960.1, Vfaba.Tiffany.R1.1g166000.1, Vfaba.Tiffany.R1.1g340880.1, Vfaba.Tiffany.R1.2g087240.1, Vfaba.Tiffany.R1.2g087280.1, Vfaba.Tiffany.R1.3g126160.1, Vfaba.Tiffany.R1.4g111760.1, Vfaba.Tiffany.R1.4g166800.1, Vfaba.Tiffany.R1.4g166880.1, Vfaba.Tiffany.R1.4g166920.1, Vfaba.Tiffany.R1.5g104840.1, Vfaba.Tiffany.R1.5g104880.1, Vfaba.Tiffany.R1.5g104920.1, Vfaba.Tiffany.R1.5g125840.1, Vfaba.Tiffany.R1.6g025160.1, Vfaba.Tiffany.R1.6g025200.1, Vfaba.Tiffany.R1.6g028680.1	Vfaba.Hedin2.R1.1g211800.1, Vfaba.Hedin2.R1.1g211960.1, Vfaba.Hedin2.R1.1g212120.1, Vfaba.Hedin2.R1.1g212200.1, Vfaba.Hedin2.R1.1g212240.1, Vfaba.Hedin2.R1.1g416400.1, Vfaba.Hedin2.R1.2g106000.1, Vfaba.Hedin2.R1.2g106040.1, Vfaba.Hedin2.R1.3g157640.1, Vfaba.Hedin2.R1.4g216920.1, Vfaba.Hedin2.R1.4g217200.1, Vfaba.Hedin2.R1.5g130240.1, Vfaba.Hedin2.R1.5g130360.1, Vfaba.Hedin2.R1.5g157360.1, Vfaba.Hedin2.R1.6g032440.1, Vfaba.Hedin2.R1.6g032480.1, Vfaba.Hedin2.R1.6g036720.1
OG0000005	Vfaba.Tiffany.R1.1g163520.1, Vfaba.Tiffany.R1.1g221040.1, Vfaba.Tiffany.R1.1g244000.1, Vfaba.Tiffany.R1.1g252840.1, Vfaba.Tiffany.R1.1g264720.1, Vfaba.Tiffany.R1.1g291520.1, Vfaba.Tiffany.R1.1g297240.1, Vfaba.Tiffany.R1.1g330120.1, Vfaba.Tiffany.R1.1g375760.1, Vfaba.Tiffany.R1.2g013400.1, Vfaba.Tiffany.R1.2g024840.1, Vfaba.Tiffany.R1.2g168000.1, Vfaba.Tiffany.R1.3g000640.1, Vfaba.Tiffany.R1.3g021760.1, Vfaba.Tiffany.R1.3g119280.1, Vfaba.Tiffany.R1.3g131000.1, Vfaba.Tiffany.R1.3g161320.1, Vfaba.Tiffany.R1.3g175080.1, Vfaba.Tiffany.R1.4g039640.1, Vfaba.Tiffany.R1.4g040720.1, Vfaba.Tiffany.R1.4g071320.1, Vfaba.Tiffany.R1.4g075880.1, Vfaba.Tiffany.R1.4g075880.2, Vfaba.Tiffany.R1.4g076360.1, Vfaba.Tiffany.R1.5g016280.1, Vfaba.Tiffany.R1.5g110320.1, Vfaba.Tiffany.R1.5g110320.2, Vfaba.Tiffany.R1.5g110320.3, Vfaba.Tiffany.R1.5g110320.4, Vfaba.Tiffany.R1.5g137680.1, Vfaba.Tiffany.R1.6g005000.1, Vfaba.Tiffany.R1.6g044400.1, Vfaba.Tiffany.R1.6g069440.1, Vfaba.Tiffany.R1.6g086640.1, Vfaba.Tiffany.R1.6g088360.1, Vfaba.Tiffany.R1.6g088400.1, Vfaba.Tiffany.R1.6g098520.1	
OG0000006	Null	Vfaba.Hedin2.R1.1g076080.1, Vfaba.Hedin2.R1.1g110960.1, Vfaba.Hedin2.R1.1g111240.1, Vfaba.Hedin2.R1.1g178480.1, Vfaba.Hedin2.R1.1g230720.1, Vfaba.Hedin2.R1.1g308880.1, Vfaba.Hedin2.R1.1g347520.1, Vfaba.Hedin2.R1.1g355680.1, Vfaba.Hedin2.R1.1g382720.1, Vfaba.Hedin2.R1.1g449080.1, Vfaba.Hedin2.R1.2g010160.1, Vfaba.Hedin2.R1.2g041000.1, Vfaba.Hedin2.R1.2g066560.1, Vfaba.Hedin2.R1.2g068400.1, Vfaba.Hedin2.R1.2g104400.1, Vfaba.Hedin2.R1.2g108440.1, Vfaba.Hedin2.R1.2g147400.1, Vfaba.Hedin2.R1.2g199520.1, Vfaba.Hedin2.R1.2g239920.1, Vfaba.Hedin2.R1.2g257000.1, Vfaba.Hedin2.R1.3g011120.1, Vfaba.Hedin2.R1.3g147200.1, Vfaba.Hedin2.R1.3g199200.1, Vfaba.Hedin2.R1.4g096440.1, Vfaba.Hedin2.R1.4g232120.1, Vfaba.Hedin2.R1.5g108000.1, Vfaba.Hedin2.R1.6g035640.1, Vfaba.Hedin2.R1.6g098280.1, Vfaba.Hedin2.R1.Ung034600.1, Vfaba.Hedin2.R1.Ung069920.1, Vfaba.Hedin2.R1.Ung076840.1, Vfaba.Hedin2.R1.Ung099600.1
OG0000007	Vfaba.Tiffany.R1.1g023120.1, Vfaba.Tiffany.R1.1g023760.1, Vfaba.Tiffany.R1.1g023800.1, Vfaba.Tiffany.R1.1g023840.1, Vfaba.Tiffany.R1.1g023880.1, Vfaba.Tiffany.R1.1g023960.1, Vfaba.Tiffany.R1.1g024000.1, Vfaba.Tiffany.R1.1g024040.1, Vfaba.Tiffany.R1.1g024280.1, Vfaba.Tiffany.R1.1g038400.1, Vfaba.Tiffany.R1.1g038440.1, Vfaba.Tiffany.R1.1g038480.1, Vfaba.Tiffany.R1.1g038560.1, Vfaba.Tiffany.R1.1g038640.1, Vfaba.Tiffany.R1.1g042360.1, Vfaba.Tiffany.R1.1g042400.1, Vfaba.Tiffany.R1.1g264080.1, Vfaba.Tiffany.R1.1g264120.1, Vfaba.Tiffany.R1.1g299200.1, Vfaba.Tiffany.R1.1g299240.1, Vfaba.Tiffany.R1.2g053520.1, Vfaba.Tiffany.R1.2g117600.1, Vfaba.Tiffany.R1.3g095080.1, Vfaba.Tiffany.R1.3g095120.1, Vfaba.Tiffany.R1.4g144400.1, Vfaba.Tiffany.R1.6g064920.1, Vfaba.Tiffany.R1.6g064960.1, Vfaba.Tiffany.R1.6g065000.1, Vfaba.Tiffany.R1.6g065040.1, Vfaba.Tiffany.R1.6g065080.1, Vfaba.Tiffany.R1.6g089560.1	
OG0000008	Vfaba.Tiffany.R1.1g005520.1, Vfaba.Tiffany.R1.1g051960.1, Vfaba.Tiffany.R1.1g100120.1, Vfaba.Tiffany.R1.1g152680.1, Vfaba.Tiffany.R1.1g289920.1, Vfaba.Tiffany.R1.1g371600.1, Vfaba.Tiffany.R1.3g022480.1, Vfaba.Tiffany.R1.3g023080.1, Vfaba.Tiffany.R1.3g024600.1, Vfaba.Tiffany.R1.3g177240.1, Vfaba.Tiffany.R1.4g023640.1, Vfaba.Tiffany.R1.4g081400.1, Vfaba.Tiffany.R1.4g157640.1	Vfaba.Hedin2.R1.1g009240.1, Vfaba.Hedin2.R1.1g051560.1, Vfaba.Hedin2.R1.2g136320.1, Vfaba.Hedin2.R1.2g259200.1, Vfaba.Hedin2.R1.3g031440.1, Vfaba.Hedin2.R1.4g095640.1, Vfaba.Hedin2.R1.4g095720.1, Vfaba.Hedin2.R1.4g179360.1, Vfaba.Hedin2.R1.5g023880.1, Vfaba.Hedin2.R1.Ung008160.1, Vfaba.Hedin2.R1.Ung014760.1, Vfaba.Hedin2.R1.Ung022640.1, Vfaba.Hedin2.R1.Ung031880.1, Vfaba.Hedin2.R1.Ung032320.1, Vfaba.Hedin2.R1.Ung042800.1, Vfaba.Hedin2.R1.Ung079800.1, Vfaba.Hedin2.R1.Ung105200.1, Vfaba.Hedin2.R1.Ung105360.1
OG0000009	Vfaba.Tiffany.R1.1g071320.1, Vfaba.Tiffany.R1.1g074360.1, Vfaba.Tiffany.R1.1g107000.1, Vfaba.Tiffany.R1.1g167320.1, Vfaba.Tiffany.R1.1g179080.1, Vfaba.Tiffany.R1.1g180680.1, Vfaba.Tiffany.R1.1g199200.1, Vfaba.Tiffany.R1.1g202640.1, Vfaba.Tiffany.R1.1g250440.1, Vfaba.Tiffany.R1.1g253320.1, Vfaba.Tiffany.R1.1g313400.1, Vfaba.Tiffany.R1.2g144240.1, Vfaba.Tiffany.R1.3g061080.1, Vfaba.Tiffany.R1.3g153520.1, Vfaba.Tiffany.R1.3g192600.1, Vfaba.Tiffany.R1.3g192600.2, Vfaba.Tiffany.R1.4g151120.1, Vfaba.Tiffany.R1.4g156480.1, Vfaba.Tiffany.R1.4g156480.2, Vfaba.Tiffany.R1.4g156520.1, Vfaba.Tiffany.R1.5g132200.1, Vfaba.Tiffany.R1.6g039880.1, Vfaba.Tiffany.R1.6g048840.1, Vfaba.Tiffany.R1.6g076160.1, Vfaba.Tiffany.R1.Ung021400.1, Vfaba.Tiffany.R1.Ung029840.1, Vfaba.Tiffany.R1.Ung035000.1, Vfaba.Tiffany.R1.Ung044760.1	Vfaba.Hedin2.R1.1g227120.1, Vfaba.Hedin2.R1.1g253400.1
