Orthogroup	Eriobotrya_japonica-Rosales-Rosaceae-Eriobotrya211101.prot	Eriobotrya_japonica-Rosales-Rosaceae-Eriobotrya221202.prot
OG0000000	GWHPAOTB000069, GWHPAOTB000070, GWHPAOTB000283, GWHPAOTB000433, GWHPAOTB000435, GWHPAOTB000438, GWHPAOTB000533, GWHPAOTB000536, GWHPAOTB000623, GWHPAOTB000654, GWHPAOTB000695, GWHPAOTB000710, GWHPAOTB000737, GWHPAOTB000769, GWHPAOTB000776, GWHPAOTB000782, GWHPAOTB000783, GWHPAOTB000785, GWHPAOTB000787, GWHPAOTB000788, GWHPAOTB000794, GWHPAOTB000837, GWHPAOTB000846, GWHPAOTB000848, GWHPAOTB000920, GWHPAOTB000945, GWHPAOTB001160, GWHPAOTB001161, GWHPAOTB001165, GWHPAOTB001167, GWHPAOTB001290, GWHPAOTB001380, GWHPAOTB001385, GWHPAOTB001718, GWHPAOTB001801, GWHPAOTB001936, GWHPAOTB001941, GWHPAOTB001948, GWHPAOTB001990, GWHPAOTB002003, GWHPAOTB002056, GWHPAOTB002118, GWHPAOTB002259, GWHPAOTB002298, GWHPAOTB002410, GWHPAOTB002786, GWHPAOTB003004, GWHPAOTB003013, GWHPAOTB003045, GWHPAOTB003120, GWHPAOTB003191, GWHPAOTB003362, GWHPAOTB003364, GWHPAOTB003365, GWHPAOTB003369, GWHPAOTB003374, GWHPAOTB003376, GWHPAOTB003378, GWHPAOTB003561, GWHPAOTB003579, GWHPAOTB003629, GWHPAOTB003653, GWHPAOTB003654, GWHPAOTB003670, GWHPAOTB003801, GWHPAOTB003857, GWHPAOTB004750, GWHPAOTB004760, GWHPAOTB004762, GWHPAOTB004772, GWHPAOTB004775, GWHPAOTB004904, GWHPAOTB005119, GWHPAOTB007815, GWHPAOTB007981, GWHPAOTB007995, GWHPAOTB007997, GWHPAOTB007998, GWHPAOTB008001, GWHPAOTB008003, GWHPAOTB008004, GWHPAOTB008083, GWHPAOTB008131, GWHPAOTB011480, GWHPAOTB011573, GWHPAOTB011704, GWHPAOTB011882, GWHPAOTB011939, GWHPAOTB011969, GWHPAOTB011983, GWHPAOTB011984, GWHPAOTB012158, GWHPAOTB013072, GWHPAOTB013101, GWHPAOTB014596, GWHPAOTB014601, GWHPAOTB015116, GWHPAOTB015984, GWHPAOTB016091, GWHPAOTB016195, GWHPAOTB016377, GWHPAOTB019261, GWHPAOTB019637, GWHPAOTB019745, GWHPAOTB019766, GWHPAOTB019844, GWHPAOTB020499, GWHPAOTB020774, GWHPAOTB020781, GWHPAOTB020783, GWHPAOTB020787, GWHPAOTB020789, GWHPAOTB020790, GWHPAOTB020794, GWHPAOTB020795, GWHPAOTB021699, GWHPAOTB023668, GWHPAOTB023850, GWHPAOTB024823, GWHPAOTB024894, GWHPAOTB026433, GWHPAOTB027116, GWHPAOTB027135, GWHPAOTB029097, GWHPAOTB029473, GWHPAOTB029484, GWHPAOTB029485, GWHPAOTB029486, GWHPAOTB030553, GWHPAOTB031384, GWHPAOTB031424, GWHPAOTB031561, GWHPAOTB031564, GWHPAOTB033960, GWHPAOTB034101, GWHPAOTB034147, GWHPAOTB034516, GWHPAOTB035602, GWHPAOTB035718, GWHPAOTB035739, GWHPAOTB035764, GWHPAOTB035828, GWHPAOTB035829, GWHPAOTB035833, GWHPAOTB035835, GWHPAOTB035879, GWHPAOTB036067, GWHPAOTB036136, GWHPAOTB036141, GWHPAOTB037475, GWHPAOTB037665, GWHPAOTB037784, GWHPAOTB037785, GWHPAOTB038156, GWHPAOTB041057, GWHPAOTB041067, GWHPAOTB041069, GWHPAOTB041071, GWHPAOTB041072, GWHPAOTB041075, GWHPAOTB041076, GWHPAOTB041077, GWHPAOTB041807, GWHPAOTB041823, GWHPAOTB043909, GWHPAOTB044402, GWHPAOTB044406, GWHPAOTB044433, GWHPAOTB044537	GWHPBOTF001218, GWHPBOTF002934, GWHPBOTF040073, GWHPBOTF044930
OG0000001	GWHPAOTB000002, GWHPAOTB000084, GWHPAOTB000324, GWHPAOTB000797, GWHPAOTB001509, GWHPAOTB001580, GWHPAOTB001658, GWHPAOTB001666, GWHPAOTB001713, GWHPAOTB001963, GWHPAOTB001965, GWHPAOTB002070, GWHPAOTB002286, GWHPAOTB002813, GWHPAOTB002986, GWHPAOTB002994, GWHPAOTB003288, GWHPAOTB003368, GWHPAOTB003400, GWHPAOTB003682, GWHPAOTB003695, GWHPAOTB004119, GWHPAOTB004812, GWHPAOTB004908, GWHPAOTB005604, GWHPAOTB006342, GWHPAOTB007591, GWHPAOTB007633, GWHPAOTB007742, GWHPAOTB007779, GWHPAOTB007824, GWHPAOTB008150, GWHPAOTB008318, GWHPAOTB008336, GWHPAOTB008440, GWHPAOTB008448, GWHPAOTB008533, GWHPAOTB008715, GWHPAOTB008843, GWHPAOTB009182, GWHPAOTB011203, GWHPAOTB011634, GWHPAOTB011661, GWHPAOTB011757, GWHPAOTB011829, GWHPAOTB011877, GWHPAOTB012015, GWHPAOTB012120, GWHPAOTB012153, GWHPAOTB012159, GWHPAOTB012180, GWHPAOTB012213, GWHPAOTB012233, GWHPAOTB012246, GWHPAOTB012683, GWHPAOTB012768, GWHPAOTB013046, GWHPAOTB013294, GWHPAOTB014019, GWHPAOTB014883, GWHPAOTB015311, GWHPAOTB015616, GWHPAOTB016126, GWHPAOTB016141, GWHPAOTB016259, GWHPAOTB016422, GWHPAOTB016729, GWHPAOTB016919, GWHPAOTB017378, GWHPAOTB017635, GWHPAOTB019238, GWHPAOTB019625, GWHPAOTB019631, GWHPAOTB019661, GWHPAOTB019755, GWHPAOTB019780, GWHPAOTB019782, GWHPAOTB019817, GWHPAOTB019820, GWHPAOTB020246, GWHPAOTB020535, GWHPAOTB020721, GWHPAOTB020723, GWHPAOTB020918, GWHPAOTB020983, GWHPAOTB022983, GWHPAOTB023642, GWHPAOTB024259, GWHPAOTB024394, GWHPAOTB024463, GWHPAOTB024707, GWHPAOTB025135, GWHPAOTB025139, GWHPAOTB025207, GWHPAOTB026003, GWHPAOTB026079, GWHPAOTB027028, GWHPAOTB027060, GWHPAOTB027179, GWHPAOTB028845, GWHPAOTB028882, GWHPAOTB029199, GWHPAOTB029328, GWHPAOTB029369, GWHPAOTB029740, GWHPAOTB030162, GWHPAOTB031121, GWHPAOTB031386, GWHPAOTB031404, GWHPAOTB031436, GWHPAOTB031689, GWHPAOTB031737, GWHPAOTB031815, GWHPAOTB031956, GWHPAOTB032736, GWHPAOTB032752, GWHPAOTB034070, GWHPAOTB034179, GWHPAOTB034431, GWHPAOTB034771, GWHPAOTB034807, GWHPAOTB035352, GWHPAOTB035640, GWHPAOTB035725, GWHPAOTB035924, GWHPAOTB036466, GWHPAOTB037212, GWHPAOTB037468, GWHPAOTB037603, GWHPAOTB037695, GWHPAOTB037897, GWHPAOTB037953, GWHPAOTB038034, GWHPAOTB038062, GWHPAOTB038271, GWHPAOTB039440, GWHPAOTB041027, GWHPAOTB041119, GWHPAOTB041217, GWHPAOTB041508, GWHPAOTB041786, GWHPAOTB041896, GWHPAOTB042048, GWHPAOTB042059, GWHPAOTB042154, GWHPAOTB042286, GWHPAOTB042324, GWHPAOTB042408, GWHPAOTB044052, GWHPAOTB044207, GWHPAOTB044209, GWHPAOTB044268, GWHPAOTB044291, GWHPAOTB044497, GWHPAOTB044725, GWHPAOTB044741	
OG0000002	GWHPAOTB000048, GWHPAOTB000068, GWHPAOTB000092, GWHPAOTB000222, GWHPAOTB000306, GWHPAOTB000436, GWHPAOTB000634, GWHPAOTB000675, GWHPAOTB000694, GWHPAOTB000711, GWHPAOTB000752, GWHPAOTB000767, GWHPAOTB000772, GWHPAOTB000838, GWHPAOTB000849, GWHPAOTB001031, GWHPAOTB001219, GWHPAOTB001324, GWHPAOTB001325, GWHPAOTB001392, GWHPAOTB001460, GWHPAOTB001577, GWHPAOTB001693, GWHPAOTB001712, GWHPAOTB001766, GWHPAOTB001802, GWHPAOTB001931, GWHPAOTB001989, GWHPAOTB001994, GWHPAOTB002067, GWHPAOTB002221, GWHPAOTB002267, GWHPAOTB002769, GWHPAOTB002845, GWHPAOTB002846, GWHPAOTB002989, GWHPAOTB003001, GWHPAOTB003008, GWHPAOTB003121, GWHPAOTB003184, GWHPAOTB003363, GWHPAOTB003511, GWHPAOTB003530, GWHPAOTB003562, GWHPAOTB003729, GWHPAOTB003730, GWHPAOTB003800, GWHPAOTB003804, GWHPAOTB004680, GWHPAOTB004751, GWHPAOTB004788, GWHPAOTB004816, GWHPAOTB004875, GWHPAOTB007347, GWHPAOTB007994, GWHPAOTB007996, GWHPAOTB008002, GWHPAOTB008011, GWHPAOTB008028, GWHPAOTB008060, GWHPAOTB008187, GWHPAOTB011406, GWHPAOTB011493, GWHPAOTB011681, GWHPAOTB011910, GWHPAOTB011925, GWHPAOTB011932, GWHPAOTB011950, GWHPAOTB012075, GWHPAOTB012206, GWHPAOTB012207, GWHPAOTB012682, GWHPAOTB012883, GWHPAOTB012885, GWHPAOTB016220, GWHPAOTB016374, GWHPAOTB016379, GWHPAOTB016551, GWHPAOTB019640, GWHPAOTB019646, GWHPAOTB019647, GWHPAOTB019665, GWHPAOTB019720, GWHPAOTB019767, GWHPAOTB019796, GWHPAOTB019861, GWHPAOTB019874, GWHPAOTB020776, GWHPAOTB020777, GWHPAOTB020782, GWHPAOTB020793, GWHPAOTB021392, GWHPAOTB023667, GWHPAOTB024617, GWHPAOTB024785, GWHPAOTB024821, GWHPAOTB024829, GWHPAOTB024835, GWHPAOTB025393, GWHPAOTB027136, GWHPAOTB028723, GWHPAOTB029430, GWHPAOTB031706, GWHPAOTB031730, GWHPAOTB034314, GWHPAOTB034332, GWHPAOTB034775, GWHPAOTB035599, GWHPAOTB035717, GWHPAOTB035807, GWHPAOTB035830, GWHPAOTB035831, GWHPAOTB035832, GWHPAOTB036135, GWHPAOTB037669, GWHPAOTB037762, GWHPAOTB037921, GWHPAOTB041058, GWHPAOTB041064, GWHPAOTB041073, GWHPAOTB041074, GWHPAOTB041080, GWHPAOTB041107, GWHPAOTB041620, GWHPAOTB041631, GWHPAOTB041708, GWHPAOTB041772, GWHPAOTB041812, GWHPAOTB041821, GWHPAOTB042016, GWHPAOTB042047, GWHPAOTB044325, GWHPAOTB044395, GWHPAOTB044397, GWHPAOTB044401, GWHPAOTB044407, GWHPAOTB044408, GWHPAOTB044700	
OG0000003	Null	GWHPBOTF000124, GWHPBOTF000131, GWHPBOTF000823, GWHPBOTF001011, GWHPBOTF002363, GWHPBOTF002368, GWHPBOTF002757, GWHPBOTF003060, GWHPBOTF004250, GWHPBOTF004845, GWHPBOTF006020, GWHPBOTF006579, GWHPBOTF006647, GWHPBOTF006768, GWHPBOTF007239, GWHPBOTF007252, GWHPBOTF007356, GWHPBOTF007370, GWHPBOTF007807, GWHPBOTF008512, GWHPBOTF008530, GWHPBOTF008942, GWHPBOTF009160, GWHPBOTF009347, GWHPBOTF009675, GWHPBOTF010101, GWHPBOTF010401, GWHPBOTF010714, GWHPBOTF011636, GWHPBOTF011734, GWHPBOTF012503, GWHPBOTF012545, GWHPBOTF014748, GWHPBOTF015033, GWHPBOTF016155, GWHPBOTF016647, GWHPBOTF016879, GWHPBOTF017462, GWHPBOTF017747, GWHPBOTF017905, GWHPBOTF018097, GWHPBOTF018537, GWHPBOTF019584, GWHPBOTF019738, GWHPBOTF020004, GWHPBOTF020137, GWHPBOTF020241, GWHPBOTF020246, GWHPBOTF020576, GWHPBOTF020620, GWHPBOTF020724, GWHPBOTF021839, GWHPBOTF022080, GWHPBOTF022123, GWHPBOTF022516, GWHPBOTF022621, GWHPBOTF022666, GWHPBOTF022844, GWHPBOTF025290, GWHPBOTF025867, GWHPBOTF026470, GWHPBOTF026518, GWHPBOTF026741, GWHPBOTF026746, GWHPBOTF027479, GWHPBOTF027662, GWHPBOTF028065, GWHPBOTF028367, GWHPBOTF028444, GWHPBOTF028610, GWHPBOTF029699, GWHPBOTF030625, GWHPBOTF031227, GWHPBOTF031311, GWHPBOTF031312, GWHPBOTF033000, GWHPBOTF033278, GWHPBOTF033740, GWHPBOTF033897, GWHPBOTF034886, GWHPBOTF035078, GWHPBOTF035246, GWHPBOTF035549, GWHPBOTF036538, GWHPBOTF036613, GWHPBOTF036973, GWHPBOTF037014, GWHPBOTF037284, GWHPBOTF037356, GWHPBOTF037485, GWHPBOTF037488, GWHPBOTF037512, GWHPBOTF037866, GWHPBOTF038118, GWHPBOTF038443, GWHPBOTF038982, GWHPBOTF040178, GWHPBOTF040538, GWHPBOTF041019, GWHPBOTF041122, GWHPBOTF041738, GWHPBOTF042659, GWHPBOTF042759, GWHPBOTF042846, GWHPBOTF043011, GWHPBOTF043068, GWHPBOTF043231, GWHPBOTF043673, GWHPBOTF044317, GWHPBOTF045006, GWHPBOTF045224, GWHPBOTF045225, GWHPBOTF045344, GWHPBOTF045370, GWHPBOTF045534
OG0000004	GWHPAOTB000847, GWHPAOTB002005, GWHPAOTB002266, GWHPAOTB003039, GWHPAOTB008006, GWHPAOTB016024, GWHPAOTB020797, GWHPAOTB021698, GWHPAOTB031728	GWHPBOTF000058, GWHPBOTF000069, GWHPBOTF000070, GWHPBOTF000074, GWHPBOTF000088, GWHPBOTF000167, GWHPBOTF000168, GWHPBOTF000171, GWHPBOTF000172, GWHPBOTF000193, GWHPBOTF000194, GWHPBOTF000199, GWHPBOTF000264, GWHPBOTF000266, GWHPBOTF000282, GWHPBOTF000400, GWHPBOTF000537, GWHPBOTF000540, GWHPBOTF000541, GWHPBOTF000577, GWHPBOTF000581, GWHPBOTF000632, GWHPBOTF000660, GWHPBOTF000778, GWHPBOTF000839, GWHPBOTF000912, GWHPBOTF000913, GWHPBOTF000914, GWHPBOTF000915, GWHPBOTF000916, GWHPBOTF000917, GWHPBOTF000942, GWHPBOTF000953, GWHPBOTF000985, GWHPBOTF001046, GWHPBOTF001047, GWHPBOTF001117, GWHPBOTF001126, GWHPBOTF001127, GWHPBOTF001177, GWHPBOTF001254, GWHPBOTF002500, GWHPBOTF002933, GWHPBOTF003217, GWHPBOTF003572, GWHPBOTF003744, GWHPBOTF003758, GWHPBOTF003850, GWHPBOTF006766, GWHPBOTF006819, GWHPBOTF008769, GWHPBOTF008785, GWHPBOTF008852, GWHPBOTF008961, GWHPBOTF009412, GWHPBOTF011981, GWHPBOTF011982, GWHPBOTF011983, GWHPBOTF011984, GWHPBOTF012037, GWHPBOTF012330, GWHPBOTF015298, GWHPBOTF015403, GWHPBOTF015417, GWHPBOTF015431, GWHPBOTF015433, GWHPBOTF015434, GWHPBOTF017152, GWHPBOTF019491, GWHPBOTF019780, GWHPBOTF019825, GWHPBOTF020152, GWHPBOTF021951, GWHPBOTF022057, GWHPBOTF031558, GWHPBOTF031582, GWHPBOTF032967, GWHPBOTF033207, GWHPBOTF033499, GWHPBOTF037474, GWHPBOTF037483, GWHPBOTF037524, GWHPBOTF037567, GWHPBOTF037568, GWHPBOTF037569, GWHPBOTF037576, GWHPBOTF043417, GWHPBOTF044605, GWHPBOTF044929, GWHPBOTF045120
OG0000005	GWHPAOTB000784, GWHPAOTB000973, GWHPAOTB000998, GWHPAOTB001129, GWHPAOTB001132, GWHPAOTB001376, GWHPAOTB001379, GWHPAOTB001384, GWHPAOTB001935, GWHPAOTB001949, GWHPAOTB001964, GWHPAOTB002013, GWHPAOTB002192, GWHPAOTB003015, GWHPAOTB003722, GWHPAOTB004708, GWHPAOTB004773, GWHPAOTB004800, GWHPAOTB004822, GWHPAOTB004872, GWHPAOTB004905, GWHPAOTB007677, GWHPAOTB007988, GWHPAOTB008048, GWHPAOTB008132, GWHPAOTB011694, GWHPAOTB011903, GWHPAOTB011934, GWHPAOTB011949, GWHPAOTB011956, GWHPAOTB011963, GWHPAOTB012195, GWHPAOTB012913, GWHPAOTB013137, GWHPAOTB016143, GWHPAOTB016194, GWHPAOTB016301, GWHPAOTB016421, GWHPAOTB019543, GWHPAOTB019643, GWHPAOTB019690, GWHPAOTB019692, GWHPAOTB019822, GWHPAOTB019837, GWHPAOTB019847, GWHPAOTB020245, GWHPAOTB020975, GWHPAOTB024794, GWHPAOTB024817, GWHPAOTB024838, GWHPAOTB024840, GWHPAOTB024844, GWHPAOTB027019, GWHPAOTB027109, GWHPAOTB027130, GWHPAOTB027138, GWHPAOTB029122, GWHPAOTB029461, GWHPAOTB029487, GWHPAOTB029489, GWHPAOTB029528, GWHPAOTB031716, GWHPAOTB031741, GWHPAOTB031749, GWHPAOTB033047, GWHPAOTB034143, GWHPAOTB035696, GWHPAOTB035713, GWHPAOTB035714, GWHPAOTB035875, GWHPAOTB035878, GWHPAOTB036140, GWHPAOTB037737, GWHPAOTB037761, GWHPAOTB037794, GWHPAOTB037796, GWHPAOTB041026, GWHPAOTB041053, GWHPAOTB041054, GWHPAOTB041082, GWHPAOTB041379, GWHPAOTB041640, GWHPAOTB041654, GWHPAOTB041698, GWHPAOTB041716, GWHPAOTB041734, GWHPAOTB041743, GWHPAOTB041806, GWHPAOTB041814, GWHPAOTB041863, GWHPAOTB041865, GWHPAOTB041869, GWHPAOTB041949, GWHPAOTB041954, GWHPAOTB044392	GWHPBOTF022014
OG0000006	GWHPAOTB000129, GWHPAOTB000816, GWHPAOTB002392, GWHPAOTB003639, GWHPAOTB004258, GWHPAOTB004558, GWHPAOTB004580, GWHPAOTB004679, GWHPAOTB004891, GWHPAOTB005514, GWHPAOTB007858, GWHPAOTB007885, GWHPAOTB008037, GWHPAOTB008199, GWHPAOTB008855, GWHPAOTB008982, GWHPAOTB009275, GWHPAOTB009489, GWHPAOTB010054, GWHPAOTB011456, GWHPAOTB011752, GWHPAOTB011799, GWHPAOTB011839, GWHPAOTB011847, GWHPAOTB011850, GWHPAOTB012063, GWHPAOTB012192, GWHPAOTB012624, GWHPAOTB012942, GWHPAOTB013287, GWHPAOTB013445, GWHPAOTB015126, GWHPAOTB015228, GWHPAOTB015906, GWHPAOTB016159, GWHPAOTB016371, GWHPAOTB016399, GWHPAOTB016490, GWHPAOTB016550, GWHPAOTB016646, GWHPAOTB016953, GWHPAOTB017073, GWHPAOTB018954, GWHPAOTB019670, GWHPAOTB019678, GWHPAOTB019854, GWHPAOTB019881, GWHPAOTB020724, GWHPAOTB020827, GWHPAOTB021597, GWHPAOTB021702, GWHPAOTB023175, GWHPAOTB023635, GWHPAOTB024528, GWHPAOTB024809, GWHPAOTB024914, GWHPAOTB027023, GWHPAOTB027100, GWHPAOTB027837, GWHPAOTB028922, GWHPAOTB029168, GWHPAOTB030042, GWHPAOTB031557, GWHPAOTB031703, GWHPAOTB031763, GWHPAOTB031947, GWHPAOTB033398, GWHPAOTB034153, GWHPAOTB034454, GWHPAOTB034659, GWHPAOTB035622, GWHPAOTB035760, GWHPAOTB035857, GWHPAOTB035892, GWHPAOTB036537, GWHPAOTB037414, GWHPAOTB037773, GWHPAOTB037813, GWHPAOTB037828, GWHPAOTB040431, GWHPAOTB040763, GWHPAOTB041162, GWHPAOTB041166, GWHPAOTB041404, GWHPAOTB041633, GWHPAOTB041796, GWHPAOTB042471, GWHPAOTB042695, GWHPAOTB043889, GWHPAOTB044413	GWHPBOTF022103
OG0000007	GWHPAOTB013725	GWHPBOTF000012, GWHPBOTF000285, GWHPBOTF000416, GWHPBOTF000583, GWHPBOTF001165, GWHPBOTF001242, GWHPBOTF003119, GWHPBOTF003623, GWHPBOTF003663, GWHPBOTF003714, GWHPBOTF003778, GWHPBOTF003971, GWHPBOTF004229, GWHPBOTF004327, GWHPBOTF004386, GWHPBOTF004519, GWHPBOTF004842, GWHPBOTF007523, GWHPBOTF008563, GWHPBOTF008756, GWHPBOTF008836, GWHPBOTF008860, GWHPBOTF008861, GWHPBOTF009200, GWHPBOTF011420, GWHPBOTF011714, GWHPBOTF011829, GWHPBOTF015111, GWHPBOTF015199, GWHPBOTF015409, GWHPBOTF015547, GWHPBOTF015581, GWHPBOTF015653, GWHPBOTF016820, GWHPBOTF017106, GWHPBOTF017953, GWHPBOTF019623, GWHPBOTF019785, GWHPBOTF021067, GWHPBOTF021832, GWHPBOTF021855, GWHPBOTF021857, GWHPBOTF021995, GWHPBOTF022046, GWHPBOTF022056, GWHPBOTF022062, GWHPBOTF022069, GWHPBOTF022262, GWHPBOTF022597, GWHPBOTF027593, GWHPBOTF027678, GWHPBOTF027923, GWHPBOTF028008, GWHPBOTF028034, GWHPBOTF028600, GWHPBOTF029357, GWHPBOTF030470, GWHPBOTF031602, GWHPBOTF031609, GWHPBOTF032029, GWHPBOTF033125, GWHPBOTF033183, GWHPBOTF033230, GWHPBOTF033324, GWHPBOTF033711, GWHPBOTF034001, GWHPBOTF035384, GWHPBOTF035420, GWHPBOTF035918, GWHPBOTF036968, GWHPBOTF037400, GWHPBOTF037540, GWHPBOTF037546, GWHPBOTF037558, GWHPBOTF037575, GWHPBOTF039504, GWHPBOTF040177, GWHPBOTF040700, GWHPBOTF041967, GWHPBOTF042459, GWHPBOTF043280, GWHPBOTF043318, GWHPBOTF043326, GWHPBOTF043376, GWHPBOTF043411, GWHPBOTF044564, GWHPBOTF044890, GWHPBOTF045049
OG0000008	GWHPAOTB000170, GWHPAOTB001293, GWHPAOTB004016, GWHPAOTB004233, GWHPAOTB004395, GWHPAOTB005040, GWHPAOTB007390, GWHPAOTB007417, GWHPAOTB007471, GWHPAOTB007541, GWHPAOTB007550, GWHPAOTB008459, GWHPAOTB008767, GWHPAOTB009519, GWHPAOTB010071, GWHPAOTB010400, GWHPAOTB010979, GWHPAOTB011000, GWHPAOTB011003, GWHPAOTB011065, GWHPAOTB011322, GWHPAOTB011703, GWHPAOTB012311, GWHPAOTB012679, GWHPAOTB012840, GWHPAOTB012886, GWHPAOTB013317, GWHPAOTB013557, GWHPAOTB013723, GWHPAOTB015819, GWHPAOTB016238, GWHPAOTB016285, GWHPAOTB016356, GWHPAOTB018279, GWHPAOTB018678, GWHPAOTB018701, GWHPAOTB019157, GWHPAOTB019832, GWHPAOTB020143, GWHPAOTB020363, GWHPAOTB020828, GWHPAOTB021013, GWHPAOTB021052, GWHPAOTB023747, GWHPAOTB023873, GWHPAOTB024480, GWHPAOTB024871, GWHPAOTB024923, GWHPAOTB026578, GWHPAOTB026929, GWHPAOTB027061, GWHPAOTB027178, GWHPAOTB027967, GWHPAOTB028244, GWHPAOTB028562, GWHPAOTB028959, GWHPAOTB029027, GWHPAOTB029320, GWHPAOTB029889, GWHPAOTB030236, GWHPAOTB030360, GWHPAOTB030490, GWHPAOTB031460, GWHPAOTB031615, GWHPAOTB032181, GWHPAOTB032182, GWHPAOTB033642, GWHPAOTB033757, GWHPAOTB033780, GWHPAOTB033791, GWHPAOTB034248, GWHPAOTB035334, GWHPAOTB036512, GWHPAOTB038250, GWHPAOTB038417, GWHPAOTB041051, GWHPAOTB041102, GWHPAOTB041623, GWHPAOTB041965, GWHPAOTB042094, GWHPAOTB042103, GWHPAOTB042603, GWHPAOTB043430, GWHPAOTB043825, GWHPAOTB043905, GWHPAOTB044103, GWHPAOTB044198, GWHPAOTB044233	
