Orthogroup	Syzygium_grande-Myrtales-Myrtaceae-Syzygium.prot	Syzygium_samarangense-Myrtales-Myrtaceae-Syzygium.prot
OG0000000	KAI6674158.1, KAI6677521.1, KAI6698113.1	GWHPDVFZ000339, GWHPDVFZ000665, GWHPDVFZ001159, GWHPDVFZ001160, GWHPDVFZ001338, GWHPDVFZ001540, GWHPDVFZ001783, GWHPDVFZ002080, GWHPDVFZ002477, GWHPDVFZ004859, GWHPDVFZ004860, GWHPDVFZ005248, GWHPDVFZ005832, GWHPDVFZ005911, GWHPDVFZ006129, GWHPDVFZ006748, GWHPDVFZ006753, GWHPDVFZ007195, GWHPDVFZ007501, GWHPDVFZ007502, GWHPDVFZ007650, GWHPDVFZ007651, GWHPDVFZ007835, GWHPDVFZ009951, GWHPDVFZ009967, GWHPDVFZ010736, GWHPDVFZ010865, GWHPDVFZ011794, GWHPDVFZ011852, GWHPDVFZ012717, GWHPDVFZ012938, GWHPDVFZ013330, GWHPDVFZ015280, GWHPDVFZ015364, GWHPDVFZ015411, GWHPDVFZ015734, GWHPDVFZ015773, GWHPDVFZ015807, GWHPDVFZ015931, GWHPDVFZ016482, GWHPDVFZ016483, GWHPDVFZ016609, GWHPDVFZ016631, GWHPDVFZ016633, GWHPDVFZ017112, GWHPDVFZ017680, GWHPDVFZ018457, GWHPDVFZ019433, GWHPDVFZ019434, GWHPDVFZ020326, GWHPDVFZ020327, GWHPDVFZ021994, GWHPDVFZ021995, GWHPDVFZ021996, GWHPDVFZ021997, GWHPDVFZ022343, GWHPDVFZ023593, GWHPDVFZ023692, GWHPDVFZ024339, GWHPDVFZ028411, GWHPDVFZ029921, GWHPDVFZ030104, GWHPDVFZ030303, GWHPDVFZ030628, GWHPDVFZ030629, GWHPDVFZ030936, GWHPDVFZ031394, GWHPDVFZ031653, GWHPDVFZ032069, GWHPDVFZ032567, GWHPDVFZ033616, GWHPDVFZ033792, GWHPDVFZ033793, GWHPDVFZ033915, GWHPDVFZ034632, GWHPDVFZ034689, GWHPDVFZ035831, GWHPDVFZ036413, GWHPDVFZ036683, GWHPDVFZ037396, GWHPDVFZ038786, GWHPDVFZ039435, GWHPDVFZ039469, GWHPDVFZ043054, GWHPDVFZ043055, GWHPDVFZ043059, GWHPDVFZ043715, GWHPDVFZ043716, GWHPDVFZ044235, GWHPDVFZ044236, GWHPDVFZ044253, GWHPDVFZ044417, GWHPDVFZ044418
OG0000001	KAI6668242.1, KAI6668385.1, KAI6668494.1, KAI6668530.1, KAI6668664.1, KAI6668837.1, KAI6670211.1, KAI6670939.1, KAI6670987.1, KAI6671397.1, KAI6673508.1, KAI6674182.1, KAI6675649.1, KAI6676487.1, KAI6677421.1, KAI6677423.1, KAI6677425.1, KAI6677621.1, KAI6677871.1, KAI6678064.1, KAI6678502.1, KAI6678505.1, KAI6679097.1, KAI6680524.1, KAI6680614.1, KAI6680616.1, KAI6681193.1, KAI6682324.1, KAI6683664.1, KAI6684210.1, KAI6684590.1, KAI6684651.1, KAI6688790.1, KAI6688837.1, KAI6689069.1, KAI6689833.1, KAI6689834.1, KAI6689975.1, KAI6691616.1, KAI6691708.1, KAI6693626.1, KAI6694014.1, KAI6695420.1, KAI6696828.1, KAI6697959.1, KAI6698039.1, KAI6698292.1, KAI6699938.1, KAI6700064.1, KAI6700065.1, KAI6700089.1, KAI6701129.1, KAI6702952.1, KAI6703093.1, KAI6704067.1, KAI6704346.1, KAI6705469.1, KAI6705702.1, KAI6705703.1, KAI6705704.1, KAI6705981.1, KAI6705982.1, KAI6706041.1, KAI6706044.1, KAI6706405.1, KAI6706406.1, KAI6706429.1, KAI6707281.1, KAI6707669.1	
OG0000002	KAI6680453.1	GWHPDVFZ001347, GWHPDVFZ001898, GWHPDVFZ002831, GWHPDVFZ003538, GWHPDVFZ003539, GWHPDVFZ004005, GWHPDVFZ004814, GWHPDVFZ006791, GWHPDVFZ006792, GWHPDVFZ010835, GWHPDVFZ010947, GWHPDVFZ010948, GWHPDVFZ010949, GWHPDVFZ010991, GWHPDVFZ011525, GWHPDVFZ011526, GWHPDVFZ012454, GWHPDVFZ012455, GWHPDVFZ012456, GWHPDVFZ013533, GWHPDVFZ014382, GWHPDVFZ014479, GWHPDVFZ017592, GWHPDVFZ017593, GWHPDVFZ017594, GWHPDVFZ018276, GWHPDVFZ019208, GWHPDVFZ020011, GWHPDVFZ020392, GWHPDVFZ020404, GWHPDVFZ020415, GWHPDVFZ021534, GWHPDVFZ021890, GWHPDVFZ022055, GWHPDVFZ023586, GWHPDVFZ023827, GWHPDVFZ024494, GWHPDVFZ026665, GWHPDVFZ027275, GWHPDVFZ027430, GWHPDVFZ028005, GWHPDVFZ028008, GWHPDVFZ028823, GWHPDVFZ029287, GWHPDVFZ029298, GWHPDVFZ029573, GWHPDVFZ029753, GWHPDVFZ030129, GWHPDVFZ030435, GWHPDVFZ030440, GWHPDVFZ030697, GWHPDVFZ031312, GWHPDVFZ031491, GWHPDVFZ031505, GWHPDVFZ032584, GWHPDVFZ033705, GWHPDVFZ033936, GWHPDVFZ036521, GWHPDVFZ036538, GWHPDVFZ036923, GWHPDVFZ040191, GWHPDVFZ043005, GWHPDVFZ043612, GWHPDVFZ046933
OG0000003	KAI6674220.1, KAI6698854.1	GWHPDVFZ004240, GWHPDVFZ006564, GWHPDVFZ006585, GWHPDVFZ006586, GWHPDVFZ006614, GWHPDVFZ006615, GWHPDVFZ007165, GWHPDVFZ007258, GWHPDVFZ010933, GWHPDVFZ010938, GWHPDVFZ010943, GWHPDVFZ010963, GWHPDVFZ013323, GWHPDVFZ014328, GWHPDVFZ014334, GWHPDVFZ014337, GWHPDVFZ014339, GWHPDVFZ014340, GWHPDVFZ014344, GWHPDVFZ014345, GWHPDVFZ014348, GWHPDVFZ014411, GWHPDVFZ016672, GWHPDVFZ016674, GWHPDVFZ020373, GWHPDVFZ020465, GWHPDVFZ020466, GWHPDVFZ020468, GWHPDVFZ020478, GWHPDVFZ020485, GWHPDVFZ020520, GWHPDVFZ021423, GWHPDVFZ021434, GWHPDVFZ021470, GWHPDVFZ022326, GWHPDVFZ023688, GWHPDVFZ027209, GWHPDVFZ027227, GWHPDVFZ027563, GWHPDVFZ028780, GWHPDVFZ028781, GWHPDVFZ028784, GWHPDVFZ028793, GWHPDVFZ028806, GWHPDVFZ030853, GWHPDVFZ031415, GWHPDVFZ031450, GWHPDVFZ036823, GWHPDVFZ037536, GWHPDVFZ043058, GWHPDVFZ043596
OG0000004	Null	GWHPDVFZ007066, GWHPDVFZ009904, GWHPDVFZ010594, GWHPDVFZ012161, GWHPDVFZ013834, GWHPDVFZ014140, GWHPDVFZ014485, GWHPDVFZ014505, GWHPDVFZ015309, GWHPDVFZ015326, GWHPDVFZ015399, GWHPDVFZ015404, GWHPDVFZ015405, GWHPDVFZ015431, GWHPDVFZ015993, GWHPDVFZ015994, GWHPDVFZ016002, GWHPDVFZ016634, GWHPDVFZ017530, GWHPDVFZ017531, GWHPDVFZ017955, GWHPDVFZ018590, GWHPDVFZ020123, GWHPDVFZ020482, GWHPDVFZ020606, GWHPDVFZ022111, GWHPDVFZ023610, GWHPDVFZ024434, GWHPDVFZ024474, GWHPDVFZ024515, GWHPDVFZ025541, GWHPDVFZ029379, GWHPDVFZ031138, GWHPDVFZ031325, GWHPDVFZ031654, GWHPDVFZ035461, GWHPDVFZ037479, GWHPDVFZ040254, GWHPDVFZ042094, GWHPDVFZ042293, GWHPDVFZ043026, GWHPDVFZ043387, GWHPDVFZ043388, GWHPDVFZ043390, GWHPDVFZ043391, GWHPDVFZ043395, GWHPDVFZ043396, GWHPDVFZ043399, GWHPDVFZ043400, GWHPDVFZ044276, GWHPDVFZ044825, GWHPDVFZ044826
OG0000005	Null	GWHPDVFZ000675, GWHPDVFZ004669, GWHPDVFZ004699, GWHPDVFZ004794, GWHPDVFZ004804, GWHPDVFZ005176, GWHPDVFZ005842, GWHPDVFZ006628, GWHPDVFZ006645, GWHPDVFZ007206, GWHPDVFZ007296, GWHPDVFZ007798, GWHPDVFZ009715, GWHPDVFZ009900, GWHPDVFZ009945, GWHPDVFZ010788, GWHPDVFZ010838, GWHPDVFZ011285, GWHPDVFZ013304, GWHPDVFZ013305, GWHPDVFZ013368, GWHPDVFZ013369, GWHPDVFZ016678, GWHPDVFZ016852, GWHPDVFZ017480, GWHPDVFZ018661, GWHPDVFZ018914, GWHPDVFZ019624, GWHPDVFZ020578, GWHPDVFZ020627, GWHPDVFZ023599, GWHPDVFZ023867, GWHPDVFZ024218, GWHPDVFZ025037, GWHPDVFZ025160, GWHPDVFZ025507, GWHPDVFZ027341, GWHPDVFZ027491, GWHPDVFZ027500, GWHPDVFZ031203, GWHPDVFZ031221, GWHPDVFZ033449, GWHPDVFZ033450, GWHPDVFZ034459, GWHPDVFZ034460, GWHPDVFZ034527, GWHPDVFZ035530, GWHPDVFZ035544, GWHPDVFZ036371, GWHPDVFZ038968, GWHPDVFZ040463
OG0000006	KAI6671777.1, KAI6671789.1	GWHPDVFZ040096, GWHPDVFZ042064, GWHPDVFZ045624, GWHPDVFZ045654, GWHPDVFZ045696, GWHPDVFZ045706, GWHPDVFZ045717, GWHPDVFZ045718, GWHPDVFZ045720, GWHPDVFZ045733, GWHPDVFZ045734, GWHPDVFZ045795, GWHPDVFZ045799, GWHPDVFZ045853, GWHPDVFZ045882, GWHPDVFZ045905, GWHPDVFZ045926, GWHPDVFZ045941, GWHPDVFZ045981, GWHPDVFZ045982, GWHPDVFZ045999, GWHPDVFZ046016, GWHPDVFZ046017, GWHPDVFZ046066, GWHPDVFZ046071, GWHPDVFZ046075, GWHPDVFZ046082, GWHPDVFZ046083, GWHPDVFZ046211, GWHPDVFZ046240, GWHPDVFZ046241, GWHPDVFZ046275, GWHPDVFZ046311, GWHPDVFZ046361, GWHPDVFZ046362, GWHPDVFZ046374, GWHPDVFZ046400, GWHPDVFZ046401, GWHPDVFZ046402, GWHPDVFZ046403, GWHPDVFZ046423, GWHPDVFZ046445, GWHPDVFZ046479, GWHPDVFZ046481, GWHPDVFZ046572, GWHPDVFZ046618, GWHPDVFZ046684, GWHPDVFZ046820
OG0000007	Null	GWHPDVFZ001784, GWHPDVFZ003138, GWHPDVFZ003143, GWHPDVFZ003144, GWHPDVFZ007145, GWHPDVFZ007163, GWHPDVFZ007181, GWHPDVFZ010211, GWHPDVFZ010934, GWHPDVFZ010942, GWHPDVFZ010954, GWHPDVFZ010957, GWHPDVFZ014309, GWHPDVFZ014327, GWHPDVFZ014405, GWHPDVFZ015279, GWHPDVFZ015375, GWHPDVFZ015376, GWHPDVFZ015379, GWHPDVFZ016611, GWHPDVFZ018307, GWHPDVFZ020463, GWHPDVFZ020543, GWHPDVFZ020548, GWHPDVFZ023619, GWHPDVFZ023623, GWHPDVFZ023627, GWHPDVFZ023750, GWHPDVFZ024507, GWHPDVFZ025177, GWHPDVFZ027202, GWHPDVFZ028788, GWHPDVFZ028800, GWHPDVFZ033883, GWHPDVFZ034478, GWHPDVFZ034684, GWHPDVFZ035517, GWHPDVFZ035518, GWHPDVFZ041555, GWHPDVFZ041557, GWHPDVFZ041839, GWHPDVFZ043038, GWHPDVFZ043047, GWHPDVFZ043057, GWHPDVFZ043061, GWHPDVFZ043608
OG0000008	KAI6668847.1, KAI6668945.1, KAI6668956.1, KAI6668957.1, KAI6672369.1, KAI6673506.1, KAI6673614.1, KAI6674144.1, KAI6674403.1, KAI6674762.1, KAI6675088.1, KAI6675510.1, KAI6677581.1, KAI6677582.1, KAI6678644.1, KAI6679064.1, KAI6679337.1, KAI6680306.1, KAI6681185.1, KAI6682567.1, KAI6682976.1, KAI6683178.1, KAI6683990.1, KAI6687376.1, KAI6687377.1, KAI6688224.1, KAI6689025.1, KAI6689027.1, KAI6689466.1, KAI6690440.1, KAI6690441.1, KAI6690847.1, KAI6692683.1, KAI6692799.1, KAI6692920.1, KAI6695371.1, KAI6697659.1, KAI6698115.1, KAI6699430.1, KAI6702149.1, KAI6705579.1, KAI6706135.1	
OG0000009	KAI6679145.1, KAI6695644.1	GWHPDVFZ004233, GWHPDVFZ006116, GWHPDVFZ006681, GWHPDVFZ007028, GWHPDVFZ007102, GWHPDVFZ007103, GWHPDVFZ007108, GWHPDVFZ007109, GWHPDVFZ007110, GWHPDVFZ007115, GWHPDVFZ007116, GWHPDVFZ007156, GWHPDVFZ008307, GWHPDVFZ008308, GWHPDVFZ008309, GWHPDVFZ008310, GWHPDVFZ008314, GWHPDVFZ008315, GWHPDVFZ008316, GWHPDVFZ008318, GWHPDVFZ008319, GWHPDVFZ008320, GWHPDVFZ008321, GWHPDVFZ008322, GWHPDVFZ008323, GWHPDVFZ008324, GWHPDVFZ010146, GWHPDVFZ012302, GWHPDVFZ013048, GWHPDVFZ013477, GWHPDVFZ014370, GWHPDVFZ015706, GWHPDVFZ018757, GWHPDVFZ021394, GWHPDVFZ024268, GWHPDVFZ028782, GWHPDVFZ029231, GWHPDVFZ031480, GWHPDVFZ033899, GWHPDVFZ043622
OG0000010	Null	GWHPDVFZ007093, GWHPDVFZ007094, GWHPDVFZ007095, GWHPDVFZ007096, GWHPDVFZ007097, GWHPDVFZ007098, GWHPDVFZ007099, GWHPDVFZ007101, GWHPDVFZ007104, GWHPDVFZ007105, GWHPDVFZ007106, GWHPDVFZ007107, GWHPDVFZ007111, GWHPDVFZ007114, GWHPDVFZ007192, GWHPDVFZ007197, GWHPDVFZ009096, GWHPDVFZ009859, GWHPDVFZ009860, GWHPDVFZ011207, GWHPDVFZ016586, GWHPDVFZ017625, GWHPDVFZ017681, GWHPDVFZ017704, GWHPDVFZ017833, GWHPDVFZ018466, GWHPDVFZ020061, GWHPDVFZ020420, GWHPDVFZ020490, GWHPDVFZ020567, GWHPDVFZ020598, GWHPDVFZ020610, GWHPDVFZ034182, GWHPDVFZ034832, GWHPDVFZ037406, GWHPDVFZ039033, GWHPDVFZ043067, GWHPDVFZ043069, GWHPDVFZ043103, GWHPDVFZ043104, GWHPDVFZ044271
